MSOA21CD	MSOA21NM	Licence area	Licence area (alternative)
E02004913	North Hertfordshire 005	EPN	UKPN (East)
E02004565	Rochford 003	EPN	UKPN (East)
E02004999	Ashford 004	SPN	UKPN (South)
E02005579	North Norfolk 010	EPN	UKPN (East)
E02006882	Harrow 033	EPN	UKPN (East)
E02006922	Colchester 022	EPN	UKPN (East)
E02000156	Bromley 030	SPN	UKPN (South)
E02000227	Croydon 034	SPN	UKPN (South)
E02000316	Greenwich 004	LPN	UKPN (London)
E02000365	Hackney 021	LPN	UKPN (London)
E02000769	Redbridge 019	LPN	UKPN (London)
E02000780	Redbridge 030	LPN	UKPN (London)
E02000809	Southwark 003	LPN	UKPN (London)
E02000891	Tower Hamlets 028	LPN	UKPN (London)
E02000968	Westminster 009	LPN	UKPN (London)
E02003313	Thurrock 018	EPN	UKPN (East)
E02003744	Fenland 003	EPN	UKPN (East)
E02003747	Fenland 006	EPN	UKPN (East)
E02004580	Tendring 008	EPN	UKPN (East)
E02005004	Ashford 009	SPN	UKPN (South)
E02005051	Dover 011	SPN	UKPN (South)
E02005107	Shepway 006	SPN	UKPN (South)
E02005151	Tonbridge and Malling 003	SPN	UKPN (South)
E02006233	Babergh 007	EPN	UKPN (East)
E02006296	Suffolk Coastal 010	EPN	UKPN (East)
E02006589	Horsham 002	SPN	UKPN (South)
E02006924	Redbridge 035	LPN	UKPN (London)
E02006925	Redbridge 036	LPN	UKPN (London)
E02000008	Barking and Dagenham 007	EPN	UKPN (East)
E02000072	Bexley 008	LPN	UKPN (London)
E02000073	Bexley 009	LPN	UKPN (London)
E02000084	Bexley 020	LPN	UKPN (London)
E02000123	Brent 031	LPN	UKPN (London)
E02000134	Bromley 008	LPN	UKPN (London)
E02000314	Greenwich 002	LPN	UKPN (London)
E02000371	Hackney 027	LPN	UKPN (London)
E02000564	Islington 011	LPN	UKPN (London)
E02000575	Islington 022	LPN	UKPN (London)
E02000747	Newham 034	LPN	UKPN (London)
E02000751	Redbridge 001	LPN	UKPN (London)
E02000756	Redbridge 006	LPN	UKPN (London)
E02000757	Redbridge 007	LPN	UKPN (London)
E02000759	Redbridge 009	LPN	UKPN (London)
E02000764	Redbridge 014	LPN	UKPN (London)
E02000781	Redbridge 031	LPN	UKPN (London)
E02000784	Richmond upon Thames 001	LPN	UKPN (London)
E02000786	Richmond upon Thames 003	LPN	UKPN (London)
E02000798	Richmond upon Thames 015	SPN	UKPN (South)
E02000850	Sutton 011	SPN	UKPN (South)
E02000924	Wandsworth 002	LPN	UKPN (London)
E02003263	Luton 006	EPN	UKPN (East)
E02003271	Luton 014	EPN	UKPN (East)
E02003273	Luton 016	EPN	UKPN (East)
E02003283	Southend-on-Sea 005	EPN	UKPN (East)
E02003284	Southend-on-Sea 006	EPN	UKPN (East)
E02003285	Southend-on-Sea 007	EPN	UKPN (East)
