LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000066,0,1,1,1,1,1,2,2,3,3,4,4,5,6,6,7,8,8,9,10,10,11,12,12,13,13,14,14,14,14,14,14
E01000067,0,0,1,1,1,1,1,2,2,3,3,3,4,4,5,5,6,6,7,7,8,9,9,9,10,10,11,11,11,11,11,11
E01000068,1,1,2,2,3,3,4,5,6,7,8,9,10,11,13,14,16,17,18,20,21,23,24,25,26,28,29,29,29,29,29,29
E01000069,1,1,1,2,2,3,3,4,5,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,23,24,24,24,24,24
E01000070,1,1,2,3,3,4,4,6,7,8,9,11,12,14,15,17,19,21,22,24,26,28,29,30,32,33,35,35,36,36,36,36
E01000071,0,1,1,1,1,2,2,2,3,4,4,5,5,6,7,8,8,9,10,11,12,12,13,14,14,15,15,16,16,16,16,16
E01000072,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,14,15,16,17,19,20,21,22,23,24,25,25,26,26,26,25
E01000073,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,19,20,21,22,23,23,23,23,23
E01000074,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8
E01000075,1,1,2,2,3,3,3,4,5,6,7,8,10,11,12,13,15,16,18,19,20,22,23,24,25,26,27,28,28,28,28,28
E01000076,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,6,7,7,8,8,8,9,9,9,9,9,9
E01000077,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,23,23,23,23,23
E01000078,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
E01000079,1,1,1,2,2,3,3,4,5,6,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,24,24,25,25,25,25
E01000080,1,1,1,2,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,22,22,22,22
E01000081,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,22,22,22,22
E01000082,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,8,9,9,9,9,9,9,9
