LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,288,287,285,276,267,259,250,238,214,191,169,149,129,111,94,81,65,51,38,26,16,6,0,0,0,0,0,0,0,0,0,0
E01000002,235,235,235,234,218,211,204,194,175,156,138,121,105,90,76,66,53,42,31,21,13,5,0,0,0,0,0,0,0,0,0,0
E01000003,126,125,125,121,117,113,109,104,94,84,74,65,57,49,41,35,29,22,17,11,7,3,0,0,0,0,0,0,0,0,0,0
E01000005,117,116,115,112,108,105,101,97,87,77,69,60,52,45,38,33,26,21,15,11,6,3,0,0,0,0,0,0,0,0,0,0
E01000006,61,61,61,61,61,61,61,60,56,52,48,44,40,36,32,29,24,20,16,12,7,3,0,0,0,0,0,0,0,0,0,0
E01000007,61,61,61,61,61,61,61,60,56,52,48,44,40,36,32,29,24,20,16,12,7,3,0,0,0,0,0,0,0,0,0,0
E01000008,106,106,106,106,106,106,106,105,98,90,83,76,69,62,55,50,42,35,28,20,13,6,0,0,0,0,0,0,0,0,0,0
E01000009,69,69,69,69,69,69,60,57,52,46,41,36,31,27,23,19,16,12,9,6,4,2,0,0,0,0,0,0,0,0,0,0
E01000010,246,246,245,245,245,221,213,203,183,163,144,127,110,95,80,69,56,44,32,22,13,5,0,0,0,0,0,0,0,0,0,0
E01000011,50,50,50,50,50,50,43,41,37,33,29,26,22,19,16,14,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0
E01000012,125,125,124,124,124,124,124,123,114,106,98,89,81,73,64,58,50,41,32,24,15,6,0,0,0,0,0,0,0,0,0,0
E01000013,70,70,70,70,70,70,70,69,64,59,55,50,46,41,36,32,28,23,18,13,8,4,0,0,0,0,0,0,0,0,0,0
E01000014,70,70,70,70,70,70,70,69,64,60,55,50,46,41,36,32,28,23,18,13,9,4,0,0,0,0,0,0,0,0,0,0
E01000015,104,104,103,103,103,103,103,102,95,88,82,75,68,61,54,48,41,34,27,20,13,5,0,0,0,0,0,0,0,0,0,0
E01000016,64,64,64,64,64,64,64,63,59,55,50,46,42,37,33,30,25,21,17,12,8,3,0,0,0,0,0,0,0,0,0,0
E01000017,65,65,65,65,65,65,65,64,60,55,51,47,42,38,34,30,26,21,17,12,8,3,0,0,0,0,0,0,0,0,0,0
