LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,8,11,15,15,15,15,15,15,15,15,15,14,13,12,11,10,9,8,6,5,4,3,2,2,1,1,1,0,0,0,0,0
E01000002,8,11,15,15,15,15,16,15,16,16,15,15,14,13,12,10,9,8,7,5,4,3,2,2,1,1,1,0,0,0,0,0
E01000003,6,9,12,12,12,12,12,12,12,12,12,11,11,10,9,8,7,6,5,4,3,3,2,1,1,1,0,0,0,0,0,0
E01000005,5,7,9,9,9,10,10,10,10,10,10,9,9,8,7,6,6,5,4,3,3,2,1,1,1,1,0,0,0,0,0,0
E01000006,3,4,6,8,10,13,15,18,21,23,23,22,21,19,18,16,14,12,10,8,6,5,4,3,2,1,1,1,0,0,0,0
E01000007,1,2,3,5,6,7,9,11,14,16,17,16,15,14,13,11,10,9,7,6,5,4,3,2,1,1,1,0,0,0,0,0
E01000008,1,1,2,3,4,5,6,7,9,10,11,11,10,9,8,7,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0
E01000009,3,4,6,8,10,13,15,18,21,23,23,22,21,19,18,16,14,12,10,8,6,5,4,3,2,1,1,1,0,0,0,0
E01000010,2,3,6,8,10,13,16,19,23,27,29,28,26,24,22,20,17,15,12,10,8,6,5,3,2,2,1,1,0,0,0,0
E01000011,2,3,5,7,9,11,13,16,19,21,21,20,19,17,16,14,12,11,9,7,6,4,3,2,2,1,1,2,0,0,0,0
E01000012,2,3,6,8,10,13,16,19,23,27,29,28,26,24,22,20,17,15,12,10,8,6,5,3,2,2,1,1,0,0,0,0
E01000013,3,4,6,9,11,14,17,21,24,29,31,30,28,26,24,21,19,16,13,11,9,7,5,4,2,2,1,1,2,0,0,0
E01000014,7,10,17,23,31,38,47,58,70,80,86,82,77,71,65,58,51,43,36,30,24,18,14,10,7,5,3,2,1,1,1,1
E01000015,3,4,6,8,10,13,16,19,22,25,26,25,23,21,19,17,15,13,11,9,7,5,4,3,2,1,1,1,0,0,0,0
E01000016,5,7,12,16,20,25,30,36,43,50,50,48,45,42,38,34,30,25,21,17,14,11,8,6,4,3,2,1,1,1,0,0
E01000017,2,3,5,7,9,11,14,16,19,22,22,21,20,19,17,15,13,11,9,8,6,5,4,3,2,1,1,1,0,0,0,0
E01000018,2,3,6,8,10,12,14,17,21,24,24,23,22,20,18,16,14,12,10,8,7,5,4,3,2,1,1,1,0,0,0,0
E01000019,5,7,12,17,22,28,36,44,54,62,69,66,62,57,52,46,41,35,29,24,19,15,11,8,5,4,3,2,1,1,1,0
E01000020,3,4,7,10,13,17,21,26,31,36,40,38,36,33,30,27,24,20,17,14,11,9,6,5,3,2,1,1,1,0,0,0
E01000021,3,4,6,8,10,12,15,18,22,25,25,24,22,21,19,17,15,13,10,9,7,5,4,3,2,1,1,1,0,0,0,0
E01000022,2,3,5,7,9,11,14,16,19,22,22,21,20,18,17,15,13,11,9,8,6,5,2,3,2,1,1,1,0,0,0,0
E01000023,5,7,12,16,20,25,30,36,43,49,49,47,44,41,37,33,29,25,21,17,14,10,8,6,4,3,2,1,1,1,0,0
E01000024,2,2,4,6,7,9,10,13,15,17,17,16,15,14,13,11,10,9,7,6,5,4,3,2,1,1,1,0,0,0,0,0
E01000025,2,3,5,7,8,10,13,15,18,20,21,20,18,17,15,14,12,10,9,7,6,4,3,2,2,1,1,1,0,0,0,0
E01000027,4,6,11,15,20,26,32,39,48,56,62,59,55,51,46,41,36,31,26,21,17,13,10,7,5,3,2,1,1,1,0,0
E01000028,1,2,3,4,5,7,9,11,13,15,17,16,15,14,12,11,10,8,7,6,5,2,3,2,1,1,1,0,0,0,0,0
E01000029,5,7,12,17,23,29,36,45,55,63,70,67,63,58,53,47,41,35,29,24,19,15,11,8,5,4,3,2,1,1,1,0
E01000030,4,6,10,14,18,24,30,36,44,51,57,54,51,47,43,38,33,29,24,20,16,12,9,6,4,3,2,1,1,1,0,0
E01000031,5,7,12,18,23,29,36,45,54,63,69,65,61,57,52,46,40,35,29,24,19,15,11,8,5,4,2,2,1,1,1,0
E01000032,6,8,14,20,26,33,42,51,62,72,78,75,70,65,59,53,46,40,33,27,22,17,12,9,6,4,3,2,1,1,2,1
E01000033,1,1,2,2,3,4,5,7,8,9,9,10,9,9,8,7,6,5,4,4,3,2,2,1,1,1,0,0,0,0,0,0
E01000034,4,6,11,16,21,27,34,43,52,61,68,65,61,57,52,46,40,35,29,24,19,13,11,8,5,4,2,2,1,1,1,0
E01000035,2,2,4,5,6,8,10,12,14,16,17,16,15,14,13,11,10,9,7,6,5,4,3,2,1,1,1,0,0,0,0,0
E01000036,5,6,11,15,19,24,29,35,42,49,51,48,46,42,38,34,30,26,21,18,14,11,8,6,4,3,2,1,1,1,0,0
E01000037,4,5,9,13,17,22,28,34,42,49,55,52,49,45,41,37,32,28,23,19,15,12,9,6,4,3,2,1,1,1,0,0
E01000038,4,6,10,14,19,24,31,38,47,55,62,59,55,51,47,41,36,31,26,21,17,13,10,7,5,3,2,1,1,1,0,0
E01000039,4,6,11,16,21,27,34,43,52,61,68,65,61,57,51,46,40,34,29,24,19,14,11,8,5,4,2,2,1,1,1,0
E01000040,3,4,6,8,10,12,13,15,15,15,15,15,14,13,12,10,9,8,7,5,4,3,2,2,1,1,1,0,0,0,0,0
E01000041,4,5,9,12,15,18,22,26,31,35,35,33,31,29,26,23,22,18,15,12,10,7,5,4,3,2,1,1,1,0,0,0
E01000042,11,15,24,33,41,50,61,73,86,97,98,93,88,81,74,66,57,49,41,34,27,21,15,11,8,5,4,2,2,1,1,1
E01000043,8,11,18,23,28,33,37,43,43,43,44,42,39,36,33,29,26,22,18,15,12,9,7,5,3,2,2,1,1,0,0,0
E01000044,4,5,9,12,15,18,21,25,30,33,33,31,30,27,25,22,19,17,14,11,9,7,5,4,3,2,1,1,1,0,0,0
E01000045,10,13,22,29,37,46,55,66,78,87,88,84,79,73,66,59,52,45,37,31,24,19,14,10,7,5,3,2,1,1,1,1
E01000046,5,6,10,14,18,22,26,31,37,42,42,40,38,35,32,28,25,21,18,15,12,9,7,5,3,2,2,1,1,0,0,0
E01000048,3,4,6,8,11,13,15,18,21,23,23,22,21,19,18,16,14,12,10,8,6,5,4,3,2,1,1,1,0,0,0,0
E01000049,7,9,15,20,25,30,36,43,51,55,55,53,50,46,42,37,33,28,23,19,15,12,9,6,4,3,2,1,1,1,0,0
E01000050,3,4,6,7,9,10,12,14,14,14,14,13,12,12,10,9,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0
E01000051,2,3,5,7,8,10,12,14,17,18,18,18,16,15,14,12,11,9,8,6,5,4,3,2,1,1,1,0,0,0,0,0
E01000052,5,6,10,13,15,18,20,23,24,24,24,23,21,20,18,16,14,12,10,8,7,5,4,3,2,1,1,1,0,0,0,0
E01000053,2,2,4,6,7,10,12,15,18,21,23,22,21,19,18,16,14,12,10,8,6,5,4,3,2,1,1,1,0,0,0,0
E01000054,2,3,5,7,8,10,12,13,16,16,16,15,14,13,12,11,9,8,7,5,4,3,2,2,1,1,1,0,0,0,0,0
E01000055,2,3,4,6,7,8,10,11,13,13,13,13,12,11,10,9,8,7,6,5,4,3,2,1,1,1,0,0,0,0,0,0
E01000056,5,6,10,13,16,20,23,27,31,31,31,30,28,26,23,21,18,16,13,11,9,7,5,3,2,2,1,1,1,0,0,0
E01000057,2,3,4,6,8,11,13,17,20,23,26,25,23,22,20,17,15,13,11,9,7,6,4,3,2,1,1,1,0,0,0,0
E01000058,2,3,5,7,8,10,12,14,16,16,16,15,14,13,12,11,9,8,7,6,4,3,2,2,1,1,1,0,0,0,0,0
E01000059,5,8,13,18,23,29,36,44,53,61,65,62,59,54,49,44,38,33,28,23,18,14,10,7,5,4,2,2,1,1,1,0
E01000060,2,3,5,8,10,13,17,21,25,30,33,32,30,28,25,22,20,17,14,12,9,7,5,4,3,2,1,1,1,0,0,0
E01000061,1,2,3,4,5,7,9,11,13,16,18,17,16,15,13,12,10,9,7,6,5,4,3,2,1,1,1,0,0,0,0,0
E01000062,2,3,5,7,9,11,14,18,22,25,29,29,26,24,22,19,17,15,12,10,8,6,5,3,2,2,1,1,0,0,0,0
