LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000048,92,92,92,92,92,92,92,91,91,91,90,86,80,73,67,61,55,48,42,36,30,24,17,11,5,0,0,0,0,0,0,0
E01000049,99,98,98,98,98,98,98,98,98,98,97,92,85,79,72,65,59,52,45,39,32,25,18,12,5,0,0,0,0,0,0,0
E01000050,87,87,87,86,86,86,86,86,86,86,85,81,75,69,63,58,52,46,40,34,28,22,16,10,4,0,0,0,0,0,0,0
E01000051,67,67,67,67,67,67,67,67,67,67,66,63,58,54,49,44,40,35,31,26,22,17,13,8,3,0,0,0,0,0,0,0
E01000052,106,106,106,106,106,106,106,105,105,105,104,99,92,85,77,70,63,56,49,42,34,27,20,13,5,0,0,0,0,0,0,0
E01000053,77,77,77,77,77,76,76,76,76,76,75,72,66,61,56,51,46,41,35,30,25,20,14,9,4,0,0,0,0,0,0,0
E01000054,72,72,72,72,72,72,72,72,72,72,71,67,62,58,53,48,43,38,33,28,23,18,13,9,4,0,0,0,0,0,0,0
E01000055,56,56,56,56,56,56,56,56,56,56,55,52,49,45,41,37,33,30,26,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000056,72,72,72,71,71,71,71,71,71,71,70,67,62,57,52,47,43,38,33,28,23,18,14,9,4,0,0,0,0,0,0,0
E01000057,55,55,55,55,55,55,55,55,55,55,54,51,48,44,40,36,33,29,25,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000058,85,85,85,85,85,85,85,85,85,85,84,80,74,68,62,56,51,45,39,34,28,22,16,10,4,0,0,0,0,0,0,0
E01000059,67,67,67,67,67,67,67,67,67,67,66,62,58,53,49,44,40,35,31,26,22,17,13,8,3,0,0,0,0,0,0,0
E01000060,64,64,64,64,64,64,64,63,63,63,63,59,55,51,47,42,38,34,29,25,21,16,12,8,3,0,0,0,0,0,0,0
E01000061,60,59,59,59,59,59,59,59,59,59,58,55,51,47,43,39,35,31,27,23,19,15,11,7,3,0,0,0,0,0,0,0
E01000062,52,52,52,52,52,52,52,52,52,52,51,49,45,42,38,35,31,28,24,21,17,14,10,6,3,0,0,0,0,0,0,0
