GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West Thurrock,17.029,17.029,17.029,16.666,16.735,16.464,16.194,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125
Willesden,5.006,5.006,5.006,4.902,5.352,5.273,5.193,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881,3.881
Acton Lane 22kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West 33kV,0.602,0.602,0.602,0.0,0.019,0.019,0.019,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
Beddington 132kV Hurst 132kV,0.0,0.0,0.0,0.0,0.287,0.287,0.287,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575
Bengeworth Road 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimsdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Road 132kV,0.666,0.666,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney Supergrid 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islington 132kV,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Littlebrook 132kV,18.907,18.907,18.907,14.519,14.413,14.178,13.942,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608,8.608
Lodge Road 66kV,6.529,6.529,6.529,4.774,4.692,4.615,4.537,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738,2.738
New Cross 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 132kV to Wimbledon 1 and 2 132kV,0.107,0.107,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 66kV,1.287,1.287,1.287,0.98,0.964,0.948,0.932,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562
Redbridge Supergrid 33kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Johns Wood 132kV,6.822,6.822,6.822,5.294,5.203,5.117,5.031,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036,3.036
West Ham 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 132kV,140.001,140.001,140.001,137.249,138.568,136.342,134.116,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061,86.061
Willesden Grid 66 kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wimbledon Grid South 3/4,0.412,0.412,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington SGT,62.002,62.002,62.002,60.782,61.93,60.944,59.958,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241,39.241
Bolney SGT,425.959,425.959,425.959,416.65,409.678,402.92,396.161,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307,239.307
Canterbury SGT,14.318,14.318,14.318,14.019,14.122,13.894,13.667,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728,8.728
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chessington SGT 2 & SGT 4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685,7.685
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,12.015,12.015,12.015,11.764,12.032,11.841,11.65,7.685,7.685,7.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,31.403,31.403,31.403,30.783,30.498,29.999,29.499,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14,18.14
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Littlebrook SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninfield SGT,5.11,5.11,5.11,5.01,5.1,5.019,4.937,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225,3.225
Northfleet SGT,0.001,2.101,4.201,6.176,6.946,6.846,6.746,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
Sellindge SGT2 & 3 & Richborough SGT,41.926,41.926,41.926,41.067,40.935,40.269,39.603,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699,24.699
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Weybridge SGT,3.776,3.776,3.776,3.701,3.681,3.621,3.561,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211,2.211
