GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.694,1.457,2.262,3.08,4.014,4.994,6.052,7.174,8.379,9.674,10.97,12.188,13.442,14.681,15.794,16.833,17.32,17.459,17.621,17.721,17.744
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.061,0.095,0.129,0.168,0.209,0.254,0.302,0.352,0.407,0.461,0.513,0.565,0.618,0.664,0.708,0.728,0.734,0.741,0.745,0.746
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.172,0.266,0.362,0.471,0.586,0.71,0.842,0.983,1.134,1.286,1.429,1.577,1.722,1.852,1.974,2.031,2.047,2.066,2.079,2.081
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.555,1.166,1.813,2.468,3.216,4.003,4.85,5.749,6.715,7.754,8.794,9.767,10.773,11.766,12.658,13.491,13.882,13.992,14.122,14.207,14.222
Bramford,40.9,41.26,41.62,41.98,42.34,42.7,57.74,74.274,91.704,109.428,129.66,150.84,173.809,198.104,224.174,252.218,280.331,306.709,333.855,360.703,384.821,407.313,417.875,420.863,424.392,426.607,427.029
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.505,1.052,1.636,2.226,2.904,3.613,4.378,5.187,6.059,6.994,7.934,8.813,9.72,10.617,11.422,12.176,12.524,12.626,12.744,12.817,12.832
Burwell,30.76,30.76,30.76,30.76,30.76,30.76,31.754,32.845,33.996,35.167,36.504,37.905,39.421,41.027,42.75,44.604,46.462,48.205,49.998,51.77,53.364,54.849,55.551,55.745,55.978,56.123,56.153
Eaton Socon,51.05,52.157,53.264,54.371,55.478,56.585,58.517,60.639,62.879,65.154,67.752,70.473,73.421,76.54,79.888,83.492,87.103,90.491,93.976,97.422,100.524,103.409,104.768,105.149,105.604,105.887,105.941
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.518,1.091,1.692,2.301,3.0,3.728,4.523,5.354,6.256,7.224,8.192,9.105,10.039,10.962,11.794,12.57,12.934,13.039,13.158,13.238,13.249
Elstree 3&4,0.0,0.0,0.0,0.0,0.0,0.0,0.556,1.168,1.814,2.469,3.22,4.003,4.854,5.753,6.718,7.758,8.799,9.776,10.779,11.774,12.666,13.501,13.893,14.001,14.134,14.214,14.23
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.04,0.062,0.083,0.109,0.135,0.162,0.192,0.225,0.259,0.293,0.326,0.36,0.393,0.423,0.45,0.463,0.467,0.471,0.475,0.475
Norwich,89.3,89.3,89.3,89.3,89.3,89.3,95.477,102.267,109.42,116.7,125.01,133.707,143.14,153.112,163.821,175.337,186.884,197.715,208.861,219.892,229.79,239.029,243.372,244.596,246.043,246.954,247.122
Pelham and Wymondley,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,20.5,20.5,20.5,20.5,20.5,23.617,27.051,30.665,34.34,38.532,42.934,47.694,52.733,58.141,63.964,69.795,75.267,80.897,86.467,91.471,96.135,98.332,98.947,99.68,100.141,100.225
Rayleigh,64.4,64.4,64.4,64.4,64.4,64.4,67.747,71.427,75.299,79.244,83.744,88.458,93.566,98.968,104.766,111.001,117.257,123.121,129.157,135.131,140.493,145.499,147.847,148.51,149.298,149.785,149.88
Rye House,0.0,0.0,0.0,0.0,0.0,0.0,1.256,2.641,4.097,5.58,7.272,9.045,10.965,12.995,15.177,17.524,19.874,22.081,24.35,26.598,28.615,30.495,31.379,31.628,31.924,32.107,32.145
Sundon,6.0,6.36,6.72,7.08,7.44,7.8,11.537,15.648,19.984,24.393,29.422,34.693,40.405,46.439,52.928,59.901,66.894,73.455,80.203,86.881,92.874,98.466,101.1,101.839,102.718,103.268,103.371
