GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.005,0.011,0.013,0.011,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.469,0.469,0.469,0.469,0.494,0.518,0.526,0.519,0.509,0.479,0.447,0.391,0.326,0.271,0.228,0.193,0.147,0.09,0.042,0.032,0.032,0.032,0.016,0.016,0.016,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.221,0.421,0.461,0.461,0.337,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.038,0.08,0.093,0.085,0.075,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,4.052,4.052,4.052,4.052,4.165,4.289,4.33,4.286,4.232,4.068,3.846,3.374,2.81,2.342,1.965,1.665,1.269,0.78,0.367,0.272,0.272,0.272,0.136,0.136,0.136,0.0,0.0
Bramford,7.499,7.653,7.806,7.96,8.461,9.01,9.192,9.008,8.778,8.087,7.555,6.629,5.52,4.6,3.861,3.27,2.494,1.533,0.721,0.535,0.535,0.535,0.268,0.268,0.268,0.0,0.0
Brimsdown (EPN),0.0,0.03,0.061,0.091,0.138,0.187,0.203,0.194,0.182,0.15,0.087,0.076,0.063,0.053,0.044,0.038,0.029,0.018,0.008,0.006,0.006,0.006,0.003,0.003,0.003,0.0,0.0
Burwell,3.061,3.089,3.118,3.146,3.243,3.35,3.385,3.348,3.302,3.165,2.986,2.62,2.182,1.818,1.526,1.292,0.986,0.606,0.285,0.211,0.211,0.211,0.106,0.106,0.106,0.0,0.0
Eaton Socon,0.258,5.665,6.131,6.596,7.011,7.462,7.614,7.484,7.323,6.839,6.26,5.493,4.575,3.812,3.199,2.71,2.067,1.271,0.597,0.443,0.443,0.443,0.222,0.222,0.222,0.0,0.0
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.017,0.034,0.04,0.036,0.031,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
