GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,49.785,52.265,54.745,57.225,59.705,62.185,62.938,63.83,64.878,66.093,67.487,69.068,70.835,72.781,74.909,77.404,80.404,83.593,86.876,90.238,93.615,96.979,100.331,103.667,106.986,110.28,112.731
Barking 132,0.538,0.538,0.538,0.538,0.538,0.538,0.569,0.607,0.651,0.702,0.76,0.825,0.9,0.981,1.069,1.174,1.299,1.432,1.569,1.71,1.851,1.991,2.131,2.272,2.41,2.547,2.65
Barking West (EPN),1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.073,1.073,1.073,1.073,1.073,1.073,1.073,1.073,1.073
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.192,0.315,0.458,0.622,0.807,1.014,1.243,1.492,1.785,2.137,2.511,2.895,3.29,3.687,4.081,4.474,4.866,5.254,5.641,5.928
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,42.732,42.803,42.875,42.946,43.018,43.089,43.691,44.404,45.243,46.219,47.335,48.6,50.02,51.576,53.281,55.279,57.683,60.239,62.868,65.561,68.266,70.96,73.645,76.317,78.979,81.619,83.58
Bramford,288.968,315.314,341.661,368.007,394.353,420.699,436.981,456.293,479.005,505.355,535.559,569.79,608.117,650.252,696.392,750.464,815.466,884.587,955.72,1028.576,1101.736,1174.645,1247.282,1319.605,1391.519,1462.948,1516.002
Brimsdown (EPN),0.909,0.994,1.079,1.164,1.249,1.333,1.876,2.521,3.279,4.16,5.166,6.308,7.586,8.993,10.53,12.333,14.502,16.811,19.181,21.613,24.052,26.485,28.907,31.32,33.72,36.101,37.87
Burwell,225.513,241.624,257.651,273.847,289.959,306.07,307.149,308.431,309.941,311.691,313.697,315.969,318.511,321.311,324.373,327.963,332.279,336.869,341.593,346.431,351.287,356.129,360.95,365.754,370.528,375.271,378.791
Eaton Socon,194.172,214.804,226.646,238.488,250.33,262.172,264.266,266.745,269.661,273.043,276.918,281.313,286.228,291.641,297.564,304.505,312.85,321.721,330.849,340.203,349.597,358.95,368.277,377.559,386.791,395.962,402.764
Elstree 1&2 and 8&9 and Watford South 3A&3B,1.736,3.308,4.88,6.451,8.023,9.595,10.157,10.822,11.605,12.508,13.548,14.727,16.047,17.5,19.088,20.949,23.186,25.567,28.017,30.523,33.046,35.554,38.058,40.55,43.022,45.482,47.308
Elstree 3&4,8.831,10.434,12.038,13.642,15.246,16.849,17.453,18.168,19.008,19.984,21.1,22.368,23.784,25.344,27.05,29.049,31.455,34.013,36.645,39.341,42.045,44.744,47.431,50.108,52.766,55.409,57.373
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.01,0.02,0.03,0.04,0.05,0.07,0.094,0.122,0.153,0.191,0.233,0.278,0.331,0.387,0.453,0.533,0.616,0.705,0.793,0.882,0.972,1.06,1.148,1.236,1.324,1.389
Norwich,206.297,215.46,224.622,233.784,242.946,252.108,258.794,266.721,276.037,286.853,299.248,313.293,329.02,346.32,365.251,387.443,414.118,442.481,471.678,501.576,531.603,561.525,591.331,621.006,650.522,679.841,701.61
Pelham and Wymondley,272.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,273.647,274.209,274.77,275.331,275.893,279.268,283.271,287.975,293.436,299.699,306.793,314.738,323.475,333.033,344.241,357.715,372.043,386.783,401.883,417.053,432.162,447.216,462.208,477.111,491.917,502.912
Rayleigh,100.768,109.173,117.577,125.981,134.386,142.79,146.408,150.7,155.747,161.6,168.315,175.918,184.433,193.793,204.043,216.058,230.501,245.854,261.662,277.848,294.1,310.3,326.436,342.506,358.478,374.353,386.14
