GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West Thurrock,17.029,17.0,17.0,17.0,11.038,10.918,10.918,10.918,6.657,6.657,6.465,6.465,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,4.201,0.0,0.0
Willesden,5.006,5.0,5.0,5.0,3.246,3.211,3.211,3.211,1.958,1.958,1.902,1.902,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,0.0,0.0
Acton Lane 22kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West 33kV,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington 132kV Hurst 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bengeworth Road 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimsdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Road 132kV,0.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney Supergrid 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islington 132kV,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Littlebrook 132kV,18.907,14.81,14.81,14.81,9.616,9.512,9.512,9.512,5.799,5.799,5.632,5.632,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,0.0,0.0
Lodge Road 66kV,6.529,4.87,4.87,4.87,3.162,3.128,3.128,3.128,1.907,1.907,1.852,1.852,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,1.204,0.0,0.0
New Cross 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 132kV to Wimbledon 1 and 2 132kV,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 66kV,1.287,1.0,1.0,1.0,0.649,0.642,0.642,0.642,0.392,0.392,0.38,0.38,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.0
Redbridge Supergrid 33kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Johns Wood 132kV,6.822,5.4,5.4,5.4,3.506,3.468,3.468,3.468,2.114,2.114,2.054,2.054,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,1.335,0.0,0.0
West Ham 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 132kV,140.001,140.0,140.0,140.0,90.9,89.914,89.914,89.914,54.82,54.82,53.242,53.242,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,0.0,0.0
Willesden Grid 66 kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wimbledon Grid South 3/4,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington SGT,62.002,62.0,62.0,62.0,40.256,39.819,39.819,39.819,24.278,24.278,23.579,23.579,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,15.323,0.0,0.0
Bolney SGT,425.959,425.0,425.0,425.0,275.948,272.954,272.954,272.954,166.419,166.419,161.628,161.628,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,105.036,0.0,0.0
Canterbury SGT,14.318,14.3,14.3,14.3,9.285,9.184,9.184,9.184,5.6,5.6,5.438,5.438,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,3.534,0.0,0.0
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chessington SGT 2 & SGT 4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
