GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.011,0.022,0.031,0.039,0.045,0.047,0.047,0.046,0.043,0.04,0.04,0.039,0.036,0.033,0.032,0.027,0.025,0.022,0.019,0.016,0.014,0.013,0.011
Barking 132,0.469,0.469,0.469,0.469,0.516,0.559,0.6,0.633,0.658,0.668,0.669,0.664,0.652,0.641,0.638,0.632,0.624,0.612,0.603,0.588,0.576,0.565,0.553,0.541,0.53,0.524,0.517
Barking West (EPN),0.0,0.0,0.0,0.0,0.35,0.648,0.998,1.243,1.436,1.488,1.523,1.471,1.401,1.33,1.277,1.224,1.189,1.101,0.996,0.908,0.767,0.697,0.609,0.538,0.433,0.38,0.345
Biggleswade,0.0,0.0,0.0,0.0,0.078,0.153,0.218,0.274,0.317,0.336,0.336,0.327,0.308,0.29,0.286,0.277,0.262,0.243,0.231,0.204,0.188,0.169,0.151,0.129,0.113,0.105,0.092
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,4.052,4.052,4.052,4.052,4.286,4.509,4.704,4.869,4.996,5.054,5.054,5.025,4.966,4.907,4.897,4.868,4.819,4.76,4.721,4.633,4.583,4.524,4.466,4.397,4.348,4.319,4.279
Bramford,7.499,7.845,8.19,8.536,9.568,10.558,11.418,12.152,12.71,12.967,12.967,12.837,12.582,12.322,12.279,12.149,11.935,11.675,11.502,11.114,10.901,10.643,10.383,10.079,9.867,9.737,9.564
Brimsdown (EPN),0.0,0.069,0.137,0.206,0.299,0.388,0.467,0.532,0.583,0.606,0.606,0.595,0.573,0.552,0.548,0.536,0.518,0.497,0.481,0.449,0.43,0.408,0.386,0.361,0.343,0.331,0.317
Burwell,3.061,3.125,3.189,3.253,3.454,3.647,3.814,3.956,4.065,4.115,4.115,4.09,4.04,3.99,3.98,3.955,3.913,3.863,3.83,3.754,3.712,3.661,3.611,3.552,3.509,3.485,3.452
Eaton Socon,0.258,6.247,7.295,8.342,9.199,10.017,10.73,11.335,11.799,12.013,12.013,11.907,11.698,11.488,11.452,11.348,11.173,10.964,10.823,10.509,10.335,10.125,9.914,9.67,9.495,9.391,9.25
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.033,0.066,0.093,0.116,0.134,0.143,0.143,0.138,0.13,0.122,0.121,0.118,0.11,0.103,0.098,0.086,0.079,0.07,0.063,0.054,0.047,0.043,0.038
Elstree 3&4,0.144,0.317,0.49,0.662,0.722,0.777,0.828,0.87,0.901,0.916,0.916,0.909,0.894,0.881,0.878,0.871,0.859,0.845,0.836,0.815,0.804,0.789,0.775,0.759,0.747,0.74,0.731
