GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,49.785,60.945,72.105,83.265,94.425,105.585,112.244,118.903,125.468,131.925,138.199,144.284,150.2,155.953,161.57,167.165,172.905,178.663,184.372,190.007,195.546,200.969,206.272,211.443,216.479,221.377,224.955
Barking 132,0.538,0.538,0.538,0.538,0.538,0.538,0.816,1.094,1.369,1.639,1.9,2.155,2.401,2.643,2.878,3.111,3.351,3.591,3.83,4.065,4.297,4.523,4.746,4.961,5.171,5.376,5.526
Barking West (EPN),1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.072,1.073,1.073,1.073,1.073,1.073,1.074,1.074,1.074,1.074,1.074,1.075,1.075,1.075,1.075,1.075,1.076,1.076,1.076
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.781,1.563,2.333,3.09,3.826,4.54,5.234,5.908,6.567,7.223,7.897,8.572,9.241,9.903,10.552,11.188,11.811,12.417,13.007,13.581,14.003
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,42.732,43.053,43.375,43.697,44.018,44.34,49.673,55.011,60.268,65.442,70.469,75.343,80.081,84.691,89.191,93.674,98.272,102.883,107.458,111.976,116.409,120.756,125.001,129.148,133.182,137.103,139.973
Bramford,288.968,407.526,526.083,644.641,763.198,881.756,1026.05,1170.392,1312.613,1452.54,1588.522,1720.415,1848.589,1973.258,2094.979,2216.229,2340.596,2465.389,2589.098,2711.251,2831.242,2948.796,3063.697,3175.774,3284.898,3391.001,3468.597
Brimsdown (EPN),0.909,1.291,1.673,2.055,2.437,2.819,7.635,12.449,17.193,21.861,26.395,30.799,35.072,39.233,43.293,47.335,51.486,55.648,59.774,63.847,67.852,71.772,75.606,79.347,82.986,86.524,89.114
Burwell,225.513,298.014,370.431,443.016,515.518,588.019,597.6,607.182,616.627,625.917,634.947,643.704,652.215,660.494,668.574,676.623,684.88,693.168,701.38,709.489,717.46,725.264,732.894,740.336,747.58,754.623,759.776
Eaton Socon,194.172,256.251,309.539,362.827,416.115,469.403,487.925,506.456,524.709,542.671,560.122,577.052,593.506,609.514,625.131,640.695,656.658,672.676,688.555,704.239,719.638,734.728,749.478,763.864,777.868,791.488,801.449
Elstree 1&2 and 8&9 and Watford South 3A&3B,1.736,8.809,15.882,22.956,30.029,37.102,42.074,47.045,51.937,56.757,61.44,65.985,70.394,74.686,78.878,83.051,87.334,91.631,95.891,100.098,104.226,108.273,112.231,116.093,119.849,123.507,126.178
Elstree 3&4,8.831,16.047,23.264,30.481,37.698,44.914,50.255,55.593,60.855,66.033,71.062,75.942,80.685,85.295,89.8,94.285,98.887,103.505,108.083,112.6,117.039,121.389,125.64,129.786,133.822,137.749,140.619
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.045,0.09,0.135,0.18,0.225,0.401,0.577,0.75,0.922,1.089,1.249,1.405,1.558,1.706,1.855,2.007,2.16,2.311,2.46,2.607,2.75,2.891,3.027,3.161,3.291,3.385
Norwich,206.297,247.527,288.756,329.986,371.215,412.444,471.661,530.896,589.263,646.687,702.489,756.621,809.219,860.384,910.332,960.092,1011.128,1062.342,1113.113,1163.246,1212.485,1260.727,1307.882,1353.876,1398.654,1442.204,1474.053
Pelham and Wymondley,272.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,275.612,278.138,280.664,283.19,285.716,315.623,345.543,375.019,404.024,432.208,459.547,486.113,511.95,537.181,562.31,588.087,613.955,639.598,664.917,689.786,714.152,737.967,761.193,783.817,805.81,821.888
Rayleigh,100.768,138.588,176.407,214.226,252.046,289.865,321.924,353.996,385.591,416.678,446.889,476.191,504.669,532.367,559.411,586.35,613.98,641.708,669.193,696.333,722.992,749.106,774.637,799.535,823.78,847.351,864.594
Rye House,1.886,21.756,41.626,61.496,81.366,101.236,113.28,125.323,137.198,148.874,160.225,171.23,181.926,192.332,202.492,212.61,222.993,233.407,243.731,253.923,263.94,273.75,283.34,292.692,301.802,310.656,317.132
Sundon,108.522,175.862,252.625,329.389,406.153,482.917,518.734,554.56,589.861,624.593,658.343,691.082,722.897,753.838,784.052,814.152,845.017,875.993,906.7,937.017,966.805,995.98,1024.502,1052.322,1079.404,1105.745,1125.007
Tilbury 1&7,18.567,27.73,36.894,46.057,55.22,64.384,66.872,69.357,71.808,74.22,76.565,78.837,81.045,83.193,85.291,87.381,89.523,91.676,93.807,95.909,97.98,100.008,101.986,103.915,105.798,107.625,108.964
Tilbury 2&8,0.265,0.311,0.356,0.402,0.447,0.493,2.499,4.502,6.479,8.423,10.313,12.143,13.924,15.656,17.346,19.03,20.758,22.49,24.21,25.906,27.572,29.203,30.8,32.355,33.871,35.345,36.423
Tottenham,0.754,0.835,0.915,0.995,1.075,1.155,1.802,2.45,3.088,3.715,4.325,4.918,5.493,6.052,6.597,7.141,7.7,8.259,8.813,9.361,9.9,10.428,10.944,11.446,11.937,12.412,12.76
Walpole,217.11,221.616,226.122,230.628,235.134,239.64,304.594,369.564,433.582,496.57,557.777,617.157,674.846,730.964,785.755,840.336,896.313,952.488,1008.177,1063.162,1117.18,1170.087,1221.816,1272.263,1321.383,1369.147,1404.077
Warley,41.764,47.183,52.602,58.021,63.441,68.86,74.521,80.188,85.761,91.253,96.588,101.763,106.79,111.683,116.457,121.215,126.097,130.989,135.842,140.632,145.341,149.957,154.465,158.862,163.141,167.304,170.347
Watford South 2 and 4,0.384,0.774,1.165,1.555,1.946,2.336,3.502,4.668,5.816,6.948,8.045,9.11,10.145,11.154,12.136,13.117,14.121,15.128,16.129,17.115,18.085,19.035,19.962,20.869,21.749,22.607,23.236
West Thurrock,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.121,0.18,0.24,0.297,0.352,0.406,0.458,0.509,0.56,0.613,0.665,0.717,0.768,0.819,0.868,0.917,0.963,1.009,1.054,1.086
Willesden,0.0,0.035,0.069,0.104,0.138,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173
Acton Lane 22kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132kV GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West 33kV,1.246,1.348,1.451,1.554,1.657,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
Beddington 132kV Hurst 132kV,1.7,1.731,1.762,1.793,1.824,1.856,2.255,2.652,3.045,3.432,3.807,4.168,4.52,4.863,5.196,5.528,5.868,6.21,6.548,6.882,7.209,7.529,7.842,8.147,8.443,8.729,8.941
Bengeworth Road 132kV GIS,0.0,0.0,0.0,0.0,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184
Brimsdown,0.0,0.032,0.0,0.0,0.0,0.0,0.003,0.005,0.008,0.01,0.012,0.015,0.017,0.019,0.021,0.023,0.025,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.045
City Road 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hackney 132kV,0.0,0.033,0.067,0.1,0.133,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167
Hackney Supergrid 66kV,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202
Islington 132kV,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461
Littlebrook 132kV,1.08,1.316,1.552,1.788,2.024,2.26,2.294,2.325,2.357,2.389,2.421,2.45,2.478,2.507,2.534,2.561,2.589,2.617,2.645,2.671,2.698,2.725,2.751,2.776,2.801,2.823,2.84
Lodge Road 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 132kV to Wimbledon 1 and 2 132kV,0.184,0.184,0.184,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 66kV,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961
Redbridge Supergrid 33kV,0.0,0.0,0.064,0.096,0.128,0.16,0.162,0.165,0.167,0.17,0.172,0.174,0.176,0.179,0.181,0.183,0.185,0.187,0.189,0.191,0.193,0.195,0.197,0.199,0.201,0.203,0.204
St Johns Wood 132kV,0.0,0.171,0.342,0.513,0.684,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855
West Ham 132kV,1.0,1.321,1.643,1.964,2.286,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607,2.607
Willesden Grid 132kV,0.408,0.801,1.195,1.588,1.981,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374,2.374
Willesden Grid 66 kV,0.0,0.032,0.063,0.095,0.126,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158
Wimbledon Grid South 3/4,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562
Beddington SGT,0.0,2.88,5.76,8.64,11.52,14.4,16.289,18.175,20.031,21.855,23.626,25.342,27.009,28.629,30.211,31.782,33.393,35.008,36.607,38.181,39.73,41.247,42.723,44.162,45.568,46.928,47.921
Bolney SGT,51.483,76.868,92.329,117.715,143.101,168.487,198.708,228.901,258.626,287.841,316.208,343.695,370.382,396.32,421.62,446.798,472.585,498.437,524.034,549.285,574.064,598.309,621.993,645.062,667.498,689.295,705.222
Canterbury SGT,91.45,105.469,119.488,133.507,147.526,161.546,167.462,173.375,179.198,184.917,190.467,195.85,201.077,206.155,211.111,216.036,221.088,226.152,231.162,236.106,240.956,245.706,250.34,254.857,259.251,263.518,266.638
Chessington SGT 1 & SGT 4A,0.0,5.4,10.8,16.2,21.6,27.0,27.542,28.083,28.618,29.14,29.648,30.143,30.62,31.085,31.538,31.991,32.454,32.917,33.376,33.828,34.274,34.706,35.132,35.547,35.946,36.339,36.624
Chessington SGT 2 & SGT 4B,0.768,0.825,0.882,0.939,0.996,1.053,1.06,1.067,1.074,1.08,1.086,1.093,1.099,1.104,1.11,1.116,1.122,1.128,1.133,1.139,1.145,1.15,1.156,1.161,1.166,1.17,1.174
