GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,21.0,68.8,168.8,168.8,168.8,168.8,168.8,168.8,218.7,218.7,218.7,258.7,258.7,258.7,258.7,258.7,258.7,229.05,221.886,210.539,198.141,187.053,184.365,184.365,183.585,177.632,174.265
Pelham and Wymondley,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,35.0,110.5,110.5,135.5,135.5,135.5,185.499,185.499,185.499,185.499,185.499,195.499,195.499,195.499,195.499,195.499,195.499,164.118,156.536,144.527,131.406,119.671,116.825,116.825,116.0,109.7,106.136
Rayleigh,124.8,124.8,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,174.7,150.964,145.23,136.147,126.222,117.346,115.193,115.193,114.569,109.804,107.108
Rye House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215,7.215
Sundon,101.5,101.5,101.5,101.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,136.5,125.945,123.394,119.355,114.941,110.994,110.037,110.037,109.759,107.64,106.441
Tilbury 1&7,9.0,9.0,9.0,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,98.9,98.9,98.9,98.9,98.9,98.9,80.09,75.546,68.348,60.483,53.449,51.743,51.743,51.248,47.472,45.336
Tilbury 2&8,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
