GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
West Thurrock,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.006,0.008,0.01,0.013,0.015,0.017,0.019,0.021,0.023,0.025,0.028,0.03,0.032,0.033,0.036,0.039,0.041,0.043,0.046
Willesden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.052,0.083,0.113,0.145,0.17,0.199,0.229,0.259,0.288,0.315,0.345,0.372,0.404,0.434,0.464,0.493,0.525,0.557,0.588,0.623
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.005,0.006,0.007,0.008,0.01,0.011,0.012,0.013,0.015,0.016,0.017,0.018,0.019,0.021,0.022,0.023,0.025,0.026
Barking West (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.01,0.013,0.017,0.02,0.023,0.027,0.03,0.034,0.037,0.04,0.044,0.047,0.051,0.054,0.058,0.061,0.065,0.069,0.073
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.041,0.067,0.091,0.116,0.137,0.16,0.184,0.207,0.231,0.252,0.277,0.298,0.324,0.348,0.372,0.396,0.421,0.447,0.472,0.5
Bramford,0.264,0.302,0.341,0.379,0.418,0.456,0.992,1.571,2.256,2.906,3.588,4.145,4.772,5.413,6.054,6.695,7.274,7.934,8.512,9.199,9.86,10.501,11.141,11.822,12.524,13.191,13.96
Brimsdown (EPN),0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.037,0.06,0.082,0.105,0.123,0.144,0.166,0.187,0.209,0.228,0.25,0.269,0.292,0.314,0.336,0.357,0.38,0.403,0.425,0.451
Burwell,0.317,0.317,0.317,0.317,0.317,0.317,0.352,0.391,0.436,0.478,0.524,0.56,0.602,0.644,0.687,0.729,0.767,0.811,0.849,0.894,0.938,0.98,1.023,1.068,1.114,1.158,1.209
Eaton Socon,6.187,6.734,6.802,6.869,6.936,7.003,7.072,7.147,7.234,7.318,7.405,7.477,7.557,7.64,7.722,7.804,7.879,7.964,8.038,8.126,8.211,8.293,8.375,8.463,8.553,8.639,8.737
Elstree 1&2 and 8&9 and Watford South 3A&3B,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.038,0.062,0.085,0.108,0.127,0.149,0.171,0.193,0.215,0.235,0.258,0.278,0.302,0.324,0.346,0.369,0.392,0.416,0.439,0.466
Elstree 3&4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.041,0.067,0.091,0.116,0.137,0.16,0.184,0.207,0.231,0.252,0.277,0.298,0.324,0.348,0.372,0.396,0.421,0.447,0.471,0.5
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.007,0.008,0.008,0.009,0.01,0.011,0.012,0.012,0.013,0.014,0.015,0.016,0.017
Norwich,5.405,5.405,5.405,5.405,5.405,5.405,5.625,5.863,6.144,6.411,6.691,6.92,7.178,7.441,7.704,7.967,8.204,8.476,8.713,8.996,9.267,9.53,9.792,10.072,10.361,10.635,10.951
Pelham and Wymondley,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,0.979,0.998,1.018,1.037,1.056,1.167,1.287,1.429,1.564,1.705,1.821,1.951,2.084,2.217,2.35,2.471,2.607,2.727,2.87,3.007,3.139,3.273,3.414,3.559,3.697,3.858
Rayleigh,0.0,0.01,0.019,0.029,0.038,0.048,0.168,0.296,0.449,0.594,0.745,0.869,1.009,1.151,1.294,1.436,1.565,1.712,1.84,1.993,2.14,2.282,2.425,2.576,2.733,2.881,3.052
Rye House,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.093,0.151,0.205,0.262,0.309,0.361,0.414,0.468,0.522,0.57,0.625,0.674,0.731,0.787,0.84,0.894,0.951,1.01,1.066,1.13
Sundon,0.96,0.0,0.0,0.0,0.0,0.0,0.133,0.277,0.448,0.609,0.779,0.918,1.073,1.233,1.392,1.552,1.696,1.86,2.004,2.175,2.339,2.498,2.657,2.827,3.002,3.167,3.358
