GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Amersham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking West (EPN),0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006
Biggleswade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braintree,2.38,2.38,2.38,2.38,2.427,2.477,2.495,2.537,2.545,2.554,2.57,2.613,2.601,2.588,2.592,2.626,2.672,2.698,2.702,2.707,2.74,2.757,2.782,2.808,2.829,2.855,2.888
Bramford,83.761,83.905,84.049,84.193,86.737,89.51,90.437,92.751,93.212,93.676,94.601,96.911,96.219,95.523,95.755,97.604,100.149,101.538,101.768,102.0,103.85,104.775,106.163,107.551,108.707,110.096,111.945
Brimsdown (EPN),3.0,3.0,3.0,3.0,3.085,3.178,3.208,3.286,3.301,3.317,3.348,3.424,3.401,3.378,3.386,3.448,3.533,3.578,3.587,3.594,3.656,3.687,3.732,3.779,3.817,3.864,3.926
Burwell,9.101,9.101,9.101,9.101,9.454,9.841,9.97,10.29,10.355,10.42,10.55,10.87,10.774,10.678,10.709,10.966,11.321,11.514,11.545,11.577,11.836,11.964,12.158,12.35,12.512,12.705,12.962
Eaton Socon,11.653,16.124,16.124,16.124,16.201,16.282,16.31,16.379,16.394,16.407,16.434,16.503,16.482,16.462,16.469,16.524,16.6,16.641,16.647,16.655,16.709,16.737,16.778,16.819,16.854,16.895,16.95
Elstree 1&2 and 8&9 and Watford South 3A&3B,1.8,1.8,1.8,1.8,1.837,1.877,1.89,1.923,1.929,1.936,1.949,1.983,1.973,1.963,1.966,1.993,2.029,2.049,2.052,2.055,2.082,2.095,2.115,2.135,2.151,2.171,2.198
Elstree 3&4,2.0,3.2,4.4,5.6,5.765,5.944,6.004,6.152,6.182,6.212,6.272,6.421,6.379,6.337,6.352,6.472,6.635,6.725,6.741,6.756,6.875,6.935,7.025,7.113,7.188,7.278,7.397
Grendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Hill and Hendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich,15.761,15.761,15.761,15.761,15.999,16.26,16.346,16.564,16.608,16.651,16.738,16.957,16.888,16.826,16.845,17.018,17.256,17.386,17.412,17.431,17.605,17.693,17.823,17.953,18.061,18.192,18.366
Pelham and Wymondley,25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelham and Wymondley and Twinstead Green,0.0,25.53,25.53,25.53,25.542,25.555,25.559,25.569,25.572,25.573,25.578,25.589,25.586,25.582,25.583,25.592,25.604,25.61,25.611,25.612,25.621,25.625,25.632,25.638,25.643,25.65,25.658
Rayleigh,12.553,12.553,12.553,12.553,12.592,12.633,12.647,12.681,12.69,12.696,12.71,12.744,12.734,12.724,12.727,12.755,12.793,12.814,12.818,12.821,12.849,12.862,12.884,12.905,12.922,12.943,12.971
Rye House,25.193,25.193,25.193,25.193,25.423,25.674,25.757,25.967,26.008,26.05,26.134,26.344,26.281,26.218,26.238,26.406,26.636,26.76,26.782,26.802,26.97,27.054,27.18,27.305,27.408,27.535,27.703
Sundon,34.16,29.689,29.689,29.689,29.7,29.712,29.716,29.726,29.728,29.73,29.734,29.744,29.74,29.738,29.739,29.746,29.757,29.763,29.764,29.765,29.773,29.777,29.783,29.788,29.793,29.8,29.807
Tilbury 1&7,7.89,7.89,7.89,7.89,8.107,8.342,8.421,8.618,8.657,8.696,8.775,8.972,8.913,8.854,8.873,9.031,9.247,9.366,9.385,9.405,9.562,9.64,9.759,9.877,9.975,10.093,10.25
Tilbury 2&8,21.0,21.0,21.0,21.0,21.563,22.177,22.382,22.895,22.998,23.1,23.305,23.817,23.663,23.509,23.56,23.97,24.533,24.84,24.891,24.943,25.352,25.557,25.864,26.171,26.427,26.736,27.145
Tottenham,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Walpole,81.491,81.491,81.491,81.491,83.0,84.645,85.195,86.566,86.841,87.113,87.664,89.032,88.621,88.21,88.347,89.443,90.95,91.774,91.912,92.049,93.147,93.695,94.518,95.341,96.026,96.849,97.946
Warley,40.34,40.34,40.34,40.34,40.504,40.685,40.745,40.895,40.925,40.955,41.015,41.165,41.12,41.074,41.089,41.21,41.375,41.464,41.48,41.495,41.614,41.675,41.765,41.855,41.93,42.02,42.14
Watford South 2 and 4,0.0,0.0,0.0,0.0,0.018,0.038,0.045,0.061,0.065,0.068,0.075,0.091,0.086,0.081,0.083,0.096,0.114,0.124,0.126,0.128,0.141,0.148,0.158,0.167,0.176,0.186,0.199
West Thurrock,4.45,4.45,4.45,4.45,4.451,4.452,4.453,4.454,4.454,4.454,4.454,4.455,4.455,4.455,4.455,4.456,4.457,4.457,4.457,4.457,4.458,4.459,4.459,4.46,4.46,4.461,4.461
