LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000040,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,2,2,2,2,2,3,2,2,2,3,3,3,2
E01000041,Counterfactual,Delayed Tech,PHEV Vans,Number,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1
E01000042,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
E01000043,Counterfactual,Delayed Tech,PHEV Vans,Number,1,1,0,0,1,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3
E01000044,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
E01000045,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,2,1,1,1,2,2,1,2
E01000046,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1
E01000049,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
E01000050,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2
E01000051,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
E01000052,Counterfactual,Delayed Tech,PHEV Vans,Number,0,0,0,0,1,1,0,1,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
