LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000048,0,0,1,1,2,4,8,12,17,22,28,35,40,46,52,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000049,0,1,1,1,2,4,8,12,17,23,28,35,40,46,52,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000050,1,2,3,4,5,8,11,16,21,27,33,39,45,51,56,62,66,71,76,82,86,92,97,100,100,100,100,100,100,100,100,100
E01000051,0,1,1,1,2,4,8,12,17,23,28,34,41,46,51,57,62,67,73,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000052,1,2,3,4,5,8,12,16,21,27,33,39,45,51,56,61,67,71,76,81,86,92,97,100,100,100,100,100,100,100,100,100
E01000053,1,1,1,2,3,4,6,8,11,14,17,21,24,28,31,34,38,41,45,49,52,57,61,65,69,72,76,78,81,83,85,87
E01000054,1,1,2,2,3,5,8,12,16,21,26,31,36,41,46,50,55,59,64,68,73,78,83,88,89,90,91,93,93,94,95,95
E01000055,1,1,2,2,4,5,8,12,16,21,26,31,36,41,46,51,55,59,64,68,73,78,83,88,89,90,91,92,93,94,95,95
E01000056,1,1,2,2,3,5,8,12,16,21,26,31,36,41,46,50,55,59,64,68,73,78,83,88,89,90,91,92,93,94,95,95
E01000057,0,1,2,2,3,5,9,13,18,23,29,36,42,48,53,58,63,68,73,78,83,89,94,100,100,100,100,100,100,100,100,100
E01000058,1,1,2,2,3,6,9,12,16,21,26,31,36,41,46,50,55,59,64,68,73,78,83,88,89,90,91,92,93,94,95,95
E01000059,1,1,1,2,3,4,6,9,11,14,18,21,25,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,84,86,87
E01000060,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000061,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000062,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000063,0,1,1,1,2,3,5,8,10,14,17,20,24,27,31,34,37,41,44,48,52,57,61,65,69,72,75,78,81,83,85,86
E01000064,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000065,1,1,1,1,2,3,5,8,11,14,17,21,24,28,31,35,38,41,45,49,53,58,62,66,70,73,76,78,81,83,85,87
E01000066,1,1,2,3,4,6,10,14,19,25,31,37,43,49,54,59,65,69,75,80,84,90,96,100,100,100,100,100,100,100,100,100
E01000067,1,1,2,3,4,6,10,14,19,25,31,37,43,49,54,59,64,70,75,80,84,90,96,100,100,100,100,100,100,100,100,100
E01000068,0,0,1,1,2,4,7,12,17,22,28,34,40,46,52,57,62,67,72,77,82,88,94,100,100,100,100,100,100,100,100,100
E01000069,1,1,2,3,4,6,10,14,19,25,31,37,43,49,54,60,64,69,74,79,84,90,96,100,100,100,100,100,100,100,100,100
E01000070,1,1,2,3,4,6,10,14,19,25,31,37,43,49,54,59,64,69,75,79,84,90,96,100,100,100,100,100,100,100,100,100
E01000071,1,1,2,3,4,6,10,14,19,25,31,37,43,49,54,60,64,69,74,80,84,90,96,100,100,100,100,100,100,100,100,100
E01000072,1,1,2,3,4,6,10,14,19,25,31,37,43,48,54,59,64,69,74,79,84,90,95,100,100,100,100,100,100,100,100,100
E01000073,1,1,1,2,3,5,9,13,18,24,29,36,42,47,53,58,63,68,73,78,83,89,95,100,100,100,100,100,100,100,100,100
E01000074,0,1,1,2,3,5,9,13,18,24,30,36,42,47,53,58,63,68,73,78,83,89,94,100,100,100,100,100,100,100,100,100
E01000075,1,1,1,2,3,5,9,13,18,24,29,36,42,47,53,58,63,68,73,78,83,89,94,100,100,100,100,100,100,100,100,100
E01000076,0,1,1,2,3,5,9,13,18,24,30,36,42,47,53,58,63,68,73,78,83,89,95,100,100,100,100,100,100,100,100,100
E01000077,1,1,2,2,4,6,9,14,19,24,30,36,42,48,53,58,63,68,73,78,83,89,94,99,99,99,99,100,100,100,100,100
E01000078,0,1,1,1,2,4,5,8,11,14,17,21,24,28,31,35,38,41,45,49,53,58,62,66,69,73,76,78,81,83,85,87
E01000079,0,1,1,1,2,3,5,7,10,13,16,20,23,27,30,34,37,40,44,48,52,56,61,64,68,71,75,78,80,82,84,86
E01000080,0,1,1,1,2,3,5,8,11,14,17,21,24,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,83,85,87
E01000081,0,1,1,1,2,3,5,8,11,14,17,21,24,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,83,85,87
E01000082,0,1,1,1,2,3,6,8,11,14,17,21,24,28,31,35,38,41,45,49,53,58,62,66,70,73,76,79,81,83,85,87
E01000083,1,1,1,1,2,3,5,8,11,14,17,21,24,28,31,35,38,42,45,49,53,58,62,66,70,73,76,79,81,83,85,87
E01000084,0,1,2,2,3,4,6,9,11,14,18,21,25,28,31,35,38,41,45,49,53,58,62,66,69,73,76,79,81,84,85,87
E01000085,0,1,1,2,3,4,6,8,12,14,18,21,25,28,31,35,38,41,45,49,53,57,62,65,69,73,76,79,81,83,85,87
E01000086,0,1,1,2,3,4,6,8,11,14,18,21,24,28,31,35,38,41,45,49,53,57,62,66,69,73,76,79,81,83,85,87
E01000087,0,1,1,2,2,4,6,8,11,14,17,21,24,28,31,35,38,41,45,49,53,57,61,65,69,72,76,78,81,83,85,87
E01000088,0,1,1,2,3,4,6,8,11,14,17,21,24,28,31,34,38,41,45,49,52,57,61,66,69,72,76,78,81,83,85,87
E01000089,0,1,1,2,3,4,6,8,11,14,17,21,24,28,31,34,38,41,45,48,53,57,61,65,69,72,75,78,81,83,85,87
E01000090,0,1,1,2,2,4,6,8,11,14,17,21,24,28,31,34,38,41,45,49,52,57,61,65,69,72,75,78,81,83,85,87
E01000091,1,1,1,2,4,6,9,14,19,24,30,36,42,48,54,59,64,69,74,79,84,90,95,100,100,100,100,100,100,100,100,100
E01000092,1,2,3,4,5,8,12,16,21,27,33,39,45,51,56,61,66,72,77,81,86,92,97,100,100,100,100,100,100,100,100,100
E01000093,1,1,2,2,4,6,9,14,19,24,30,36,42,48,54,59,64,69,74,79,84,90,95,100,100,100,100,100,100,100,100,100
E01000094,1,1,2,2,4,6,9,14,19,24,30,36,42,48,54,59,64,69,74,79,84,90,95,100,100,100,100,100,100,100,100,100
E01000095,1,1,2,2,3,5,8,12,16,21,26,31,36,41,46,51,55,59,64,68,73,78,83,88,89,90,91,92,93,94,95,95
E01000096,1,1,2,3,4,6,9,14,19,24,30,36,42,48,54,59,64,69,74,79,84,90,95,100,100,100,100,100,100,100,100,100
E01000097,0,1,1,2,2,4,7,10,14,18,23,27,32,36,41,45,49,53,58,62,66,72,77,81,83,85,87,88,90,91,92,93
E01000098,0,1,1,2,2,4,7,10,14,18,23,27,32,36,41,45,49,53,58,62,66,72,77,81,83,85,87,88,90,91,92,93
E01000099,0,1,1,2,2,4,7,10,14,18,23,27,32,36,41,45,49,53,58,62,66,72,77,81,83,85,87,88,90,91,92,93
E01000100,0,1,1,1,2,3,5,8,11,14,17,20,24,27,31,34,37,41,44,48,52,57,61,65,69,72,75,78,81,83,85,86
E01000101,1,1,1,2,2,3,5,8,10,13,17,20,24,27,31,34,37,41,44,48,52,57,61,65,68,72,75,78,81,83,85,87
E01000102,0,1,1,1,2,3,5,8,11,14,17,21,24,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,83,85,87
E01000103,0,0,0,1,1,2,4,6,9,12,15,19,22,26,29,33,36,39,43,47,51,55,60,64,67,71,74,77,79,81,83,85
E01000104,0,0,0,1,1,2,4,6,9,12,16,19,22,26,29,33,36,39,43,47,51,55,60,63,67,71,74,77,79,81,83,85
E01000105,0,0,0,1,1,2,4,6,9,12,15,19,22,26,30,33,36,40,43,47,51,56,60,64,67,71,74,77,79,82,84,85
E01000106,0,0,0,1,1,2,4,7,9,12,15,19,22,26,29,33,36,40,43,47,51,55,59,63,67,71,74,76,79,81,83,85
E01000107,0,1,1,2,2,3,5,8,10,14,17,20,24,27,31,34,37,41,44,48,52,57,61,65,68,72,75,78,81,83,85,86
E01000108,0,1,1,1,2,3,5,8,10,14,17,20,24,27,31,34,37,41,44,48,52,57,61,65,68,72,75,78,80,83,85,86
E01000109,0,1,1,2,2,3,5,8,10,14,17,20,24,27,31,34,37,41,44,48,52,57,61,65,68,72,75,78,81,83,85,86
E01000110,1,1,1,2,3,4,7,9,12,15,18,22,25,28,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000111,1,1,2,2,3,5,6,9,12,15,18,22,25,28,32,35,39,42,46,50,54,58,62,66,70,73,77,79,82,84,86,88
E01000112,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000113,1,1,1,2,3,5,7,9,12,15,18,22,25,28,32,35,39,42,46,49,53,58,62,66,70,73,77,79,82,84,86,88
E01000114,0,1,1,1,2,3,5,8,11,13,17,20,24,27,31,34,37,41,44,48,52,57,61,65,69,72,75,78,81,83,85,86
E01000115,1,1,2,2,3,5,7,9,12,15,19,22,26,29,32,36,39,42,46,50,54,58,63,67,70,74,77,80,82,84,87,88
E01000116,1,1,2,2,3,5,7,9,12,15,18,22,26,29,32,36,39,43,46,50,54,59,63,67,70,74,77,80,82,84,86,88
E01000117,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,54,58,63,66,70,74,77,79,82,84,86,88
E01000118,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,54,58,62,66,70,74,77,79,82,84,86,88
E01000119,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,43,46,50,54,58,63,67,70,74,77,80,82,84,86,88
E01000120,1,1,2,2,3,5,7,9,12,15,19,22,26,29,32,36,39,42,46,50,54,58,63,67,70,74,77,80,82,85,86,88
E01000121,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,54,58,62,66,70,73,77,79,82,84,86,88
E01000122,1,1,2,2,3,5,7,10,12,15,19,22,25,29,32,36,39,42,46,50,54,59,63,67,70,74,77,80,82,85,86,88
E01000123,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,54,58,62,66,70,73,77,79,82,84,86,88
E01000124,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,53,58,63,66,70,73,77,80,82,84,86,88
E01000125,1,1,2,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,54,58,62,66,70,73,77,79,82,84,86,88
E01000126,0,1,1,1,2,3,5,7,10,13,16,20,23,27,30,33,37,40,44,48,51,56,60,64,68,71,75,77,80,82,84,86
E01000127,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,77,79,82,84,86,88
E01000128,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000129,1,1,2,2,3,5,6,9,12,15,19,22,25,29,32,35,39,42,46,50,53,58,63,66,70,73,76,79,82,84,86,88
E01000130,1,2,2,3,4,6,8,11,14,17,20,23,27,30,34,37,41,44,48,51,55,60,64,68,72,75,79,81,84,86,88,90
E01000131,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000132,1,2,2,3,4,6,8,11,14,17,20,24,27,30,34,37,40,44,47,51,55,60,64,68,72,75,78,81,84,86,88,90
E01000133,1,2,2,3,4,6,8,11,14,17,20,24,27,31,34,37,40,44,48,51,55,60,64,68,72,75,78,81,84,86,88,90
E01000134,1,1,1,2,3,4,6,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,74,76,79,82,84,86,88
E01000135,4,6,8,11,14,18,23,27,30,33,36,40,43,47,50,54,57,60,64,68,72,76,81,84,88,91,95,98,100,100,100,100
E01000136,4,6,8,11,14,18,23,27,30,33,36,40,43,47,50,54,57,60,64,68,72,76,81,85,88,92,95,97,100,100,100,100
E01000137,3,5,6,8,10,13,17,20,23,26,30,33,37,40,44,47,50,54,57,61,65,70,74,78,81,85,88,91,93,95,98,99
E01000138,1,1,2,3,4,6,8,11,14,17,20,23,27,30,34,37,40,44,48,51,55,60,64,68,72,75,78,81,84,86,88,90
E01000139,3,4,6,8,10,13,17,20,23,26,30,33,37,40,44,47,50,54,57,61,65,70,74,78,81,85,88,91,93,95,97,99
E01000140,3,4,6,8,10,13,17,20,23,26,30,33,37,40,44,47,50,54,57,61,65,70,74,77,82,85,88,91,93,95,97,99
E01000141,1,1,2,2,3,4,6,9,12,15,18,21,25,28,32,35,38,42,46,49,53,58,62,66,70,73,76,79,82,84,86,88
E01000142,1,1,2,3,4,6,8,11,13,17,20,23,27,30,34,37,40,44,48,51,55,60,64,68,72,75,78,81,84,86,88,89
E01000143,3,4,6,8,10,13,17,20,23,26,30,33,37,40,44,47,50,54,57,61,65,70,74,78,81,85,88,91,93,95,97,99
E01000144,4,6,8,11,14,18,23,27,30,33,37,40,43,47,50,54,57,60,64,68,72,76,81,85,88,92,95,98,100,100,100,100
E01000145,1,2,3,4,5,7,9,12,15,18,21,25,28,32,35,38,42,45,49,53,56,61,65,69,73,76,79,82,85,87,89,91
E01000146,4,6,8,11,14,18,23,27,30,33,37,40,43,47,50,54,57,60,64,68,72,76,81,85,88,92,95,97,100,100,100,100
E01000147,1,1,1,2,3,4,6,9,11,14,18,21,25,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,84,86,87
E01000148,1,1,1,2,3,4,6,8,11,14,17,21,25,28,31,35,38,42,45,49,53,58,62,66,69,73,76,79,81,84,86,87
E01000150,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,54,58,63,66,70,74,77,80,82,84,86,88
E01000151,0,0,1,1,2,3,5,7,10,13,16,20,23,27,30,33,37,40,44,48,51,56,61,64,68,71,75,77,80,82,84,86
E01000152,0,1,1,1,2,3,5,7,10,13,16,20,23,27,30,33,37,40,44,47,51,56,60,64,68,71,75,77,80,82,84,86
E01000153,0,0,1,1,2,3,5,7,10,13,16,20,23,27,30,33,37,40,44,48,51,56,60,64,68,71,75,77,80,82,84,86
E01000154,0,0,1,1,2,3,5,7,10,13,16,20,23,27,30,34,37,40,44,48,51,56,60,64,68,71,75,77,80,82,84,86
E01000155,1,1,1,2,3,4,6,9,11,14,18,21,25,28,31,35,38,41,45,49,53,58,62,66,69,73,76,79,81,84,86,87
E01000156,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,36,39,42,46,50,53,58,63,66,70,73,77,79,82,84,86,88
E01000157,1,1,1,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,54,58,62,66,70,73,76,79,82,84,86,88
E01000158,1,2,2,3,5,6,9,11,14,17,20,24,27,31,34,37,41,44,48,52,56,60,64,68,72,76,79,82,84,86,88,90
E01000159,1,2,2,3,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,56,60,65,68,72,75,79,82,84,86,88,90
E01000160,1,2,2,3,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,55,60,65,68,72,76,79,81,84,86,88,90
E01000161,1,2,2,3,5,6,8,11,14,17,20,24,27,31,34,38,41,44,48,52,56,60,64,68,72,75,79,81,84,86,88,90
E01000162,1,2,2,3,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,55,60,65,69,72,76,79,82,84,86,88,90
