LSOA21CD,Scenario,Scenario_world,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,High,Electric Engagement,I&C battery capacity,kW,0.023,2.072,4.287,7.105,10.49,14.378,18.681,23.227,27.832,32.493,37.206,41.966,46.737,51.517,56.34,60.329,63.885,66.496,68.546,70.084,71.19,71.97,72.631,73.373,74.197,75.109,76.112,77.243
E01000002,High,Electric Engagement,I&C battery capacity,kW,0.035,3.176,6.57,10.887,16.072,22.026,28.613,35.571,42.618,49.748,56.956,64.235,71.528,78.835,86.206,92.297,97.723,101.702,104.82,107.156,108.829,110.006,111.001,112.125,113.377,114.764,116.294,118.022
E01000003,High,Electric Engagement,I&C battery capacity,kW,0.018,1.654,3.422,5.671,8.373,11.475,14.907,18.532,22.204,25.92,29.675,33.468,37.269,41.076,44.917,48.09,50.915,52.984,54.604,55.815,56.682,57.292,57.808,58.394,59.048,59.775,60.579,61.488
E01000005,High,Electric Engagement,I&C battery capacity,kW,0.071,6.363,13.167,21.825,32.226,44.175,57.4,71.376,85.536,99.871,114.366,129.008,143.685,158.391,173.231,185.503,196.442,204.475,210.779,215.51,218.911,221.313,223.35,225.644,228.195,231.019,234.127,237.635
E01000006,High,Electric Engagement,I&C battery capacity,kW,0.003,0.272,0.56,0.924,1.359,1.856,2.402,2.973,3.544,4.117,4.691,5.264,5.833,6.397,6.96,7.412,7.805,8.076,8.275,8.409,8.489,8.531,8.559,8.6,8.651,8.715,8.792,8.885
E01000007,High,Electric Engagement,I&C battery capacity,kW,0.026,2.331,4.79,7.886,11.57,15.772,20.376,25.173,29.962,34.746,39.519,44.276,48.979,53.627,58.255,61.951,65.147,67.33,68.91,69.952,70.546,70.813,70.962,71.196,71.514,71.92,72.414,73.033
E01000008,High,Electric Engagement,I&C battery capacity,kW,0.02,1.753,3.601,5.928,8.698,11.857,15.318,18.925,22.525,26.121,29.709,33.286,36.821,40.315,43.794,46.573,48.976,50.617,51.805,52.588,53.035,53.235,53.347,53.524,53.763,54.067,54.439,54.904
E01000009,High,Electric Engagement,I&C battery capacity,kW,0.02,1.761,3.622,5.969,8.767,11.963,15.47,19.129,22.789,26.45,30.109,33.763,37.381,40.963,44.535,47.395,49.875,51.577,52.818,53.646,54.131,54.367,54.516,54.735,55.024,55.385,55.82,56.356
E01000011,High,Electric Engagement,I&C battery capacity,kW,0.005,0.463,0.951,1.566,2.298,3.132,4.046,4.999,5.95,6.9,7.848,8.792,9.726,10.649,11.568,12.302,12.937,13.37,13.684,13.891,14.009,14.062,14.092,14.138,14.201,14.282,14.38,14.503
E01000012,High,Electric Engagement,I&C battery capacity,kW,0.01,0.893,1.835,3.02,4.431,6.04,7.804,9.641,11.475,13.307,15.135,16.957,18.758,20.538,22.31,23.726,24.95,25.786,26.391,26.79,27.018,27.12,27.177,27.267,27.388,27.544,27.733,27.97
E01000013,High,Electric Engagement,I&C battery capacity,kW,0.223,3.961,7.382,11.519,16.319,21.696,27.526,33.582,39.652,45.739,51.836,57.938,64.001,70.02,76.034,80.463,84.344,87.148,89.329,90.958,92.134,92.985,93.734,94.583,95.53,96.578,97.729,99.02
E01000014,High,Electric Engagement,I&C battery capacity,kW,0.083,1.474,2.747,4.286,6.073,8.075,10.246,12.501,14.763,17.031,19.304,21.579,23.84,26.086,28.33,29.985,31.436,32.487,33.305,33.918,34.362,34.686,34.97,35.291,35.648,36.043,36.475,36.959
E01000015,High,Electric Engagement,I&C battery capacity,kW,0.107,1.905,3.548,5.535,7.838,10.417,13.211,16.11,19.014,21.923,24.834,27.744,30.633,33.498,36.358,38.454,40.284,41.597,42.61,43.359,43.892,44.271,44.604,44.986,45.418,45.901,46.434,47.036
E01000016,High,Electric Engagement,I&C battery capacity,kW,0.147,2.619,4.88,7.613,10.782,14.33,18.174,22.164,26.162,30.167,34.175,38.184,42.164,46.113,50.055,52.949,55.479,57.298,58.706,59.75,60.496,61.03,61.497,62.032,62.633,63.302,64.039,64.869
E01000017,High,Electric Engagement,I&C battery capacity,kW,0.022,0.391,0.729,1.137,1.611,2.142,2.718,3.316,3.916,4.517,5.12,5.723,6.322,6.918,7.512,7.951,8.335,8.613,8.83,8.992,9.109,9.194,9.269,9.354,9.448,9.552,9.667,9.795
E01000018,High,Electric Engagement,I&C battery capacity,kW,0.028,0.506,0.942,1.47,2.082,2.767,3.509,4.279,5.05,5.823,6.596,7.369,8.136,8.897,9.657,10.213,10.699,11.048,11.317,11.516,11.658,11.758,11.846,11.948,12.063,12.191,12.333,12.493
E01000019,High,Electric Engagement,I&C battery capacity,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,High,Electric Engagement,I&C battery capacity,kW,0.006,0.571,1.175,1.937,2.847,3.887,5.03,6.223,7.418,8.615,9.812,11.009,12.196,13.371,14.545,15.486,16.303,16.865,17.275,17.551,17.714,17.796,17.851,17.932,18.036,18.166,18.322,18.514
E01000021,High,Electric Engagement,I&C battery capacity,kW,0.018,1.623,3.341,5.51,8.099,11.059,14.312,17.709,21.111,24.519,27.929,31.338,34.719,38.069,41.415,44.098,46.427,48.029,49.202,49.989,50.459,50.696,50.857,51.088,51.389,51.763,52.212,52.76
E01000022,High,Electric Engagement,I&C battery capacity,kW,0.003,0.3,0.617,1.018,1.497,2.044,2.645,3.272,3.901,4.531,5.161,5.791,6.415,7.035,7.653,8.148,8.579,8.875,9.092,9.237,9.324,9.368,9.397,9.44,9.496,9.565,9.648,9.749
