LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000032,29.521,30.48,32.749,42.681,55.776,68.741,82.417,94.817,109.199,120.611,133.723,146.083,154.078,166.682,178.023,190.671,202.742,217.92,233.242,250.307,266.353,282.807,300.816,315.609,331.383,347.009,360.515
E01000033,31.699,32.729,34.822,42.613,53.093,63.674,74.962,85.222,97.252,106.746,117.8,128.235,134.802,145.486,155.093,165.887,176.192,189.223,202.396,217.112,230.944,245.139,260.701,273.453,287.069,300.559,312.2
E01000034,16.949,17.5,18.395,20.713,24.019,27.532,31.386,34.914,39.156,42.468,46.437,50.196,52.426,56.312,59.803,63.784,67.588,72.452,77.38,82.918,88.12,93.466,99.345,104.145,109.282,114.373,118.755
E01000035,7.422,7.664,8.844,16.347,25.863,34.934,44.281,52.703,62.253,168.927,178.453,187.403,193.707,202.634,210.689,219.405,227.722,237.937,248.223,259.542,270.258,281.235,293.176,303.171,313.762,324.266,333.478
E01000036,32.101,33.144,35.233,42.914,53.272,63.747,74.935,85.111,97.049,159.564,171.855,183.408,190.993,202.616,213.072,224.594,235.588,249.295,263.126,278.469,292.942,307.783,323.994,337.417,351.696,365.85,378.16
E01000037,2.643,2.729,4.058,14.255,27.01,38.981,51.2,62.185,74.513,84.436,95.398,105.679,112.871,123.209,132.52,142.68,152.357,164.316,176.337,189.598,202.081,214.844,228.742,240.237,252.442,264.521,275.014
E01000038,45.899,47.39,49.124,51.105,53.298,56.206,59.925,63.445,68.186,71.723,76.489,81.066,83.156,88.055,92.446,97.706,102.756,109.442,116.275,124.092,131.42,138.991,147.393,154.169,161.476,168.732,174.922
E01000039,22.67,23.406,26.158,42.034,62.346,81.876,102.116,120.375,141.197,157.821,176.558,194.171,206.007,223.834,239.875,257.587,274.472,295.538,316.762,340.301,362.443,385.116,409.876,430.27,451.973,473.463,492.072
E01000040,18.248,18.643,19.234,28.53,41.39,53.561,66.312,78.304,91.678,103.701,115.838,127.775,138.034,150.494,162.052,173.983,185.477,197.62,209.714,221.815,233.799,245.897,258.637,270.181,282.026,294.325,305.869
E01000041,20.383,20.824,21.47,31.435,45.25,58.341,72.07,84.989,99.405,112.368,125.46,138.339,149.392,162.84,175.319,188.198,200.608,213.719,226.777,239.844,252.783,265.847,279.604,292.073,304.866,318.15,330.62
E01000042,12.625,12.898,13.337,21.293,32.209,42.473,53.178,63.256,74.42,84.501,94.602,104.519,113.189,123.517,133.121,142.95,152.424,162.405,172.332,182.235,192.047,201.945,212.338,221.805,231.504,241.553,251.016
E01000043,18.627,19.03,19.656,29.888,43.992,57.31,71.24,84.333,98.914,112.02,125.238,138.231,149.439,162.989,175.559,188.522,201.01,214.2,227.331,240.468,253.475,266.606,280.43,292.959,305.813,319.157,331.683
E01000044,22.528,23.016,23.444,25.032,27.896,31.014,34.584,38.057,42.199,45.932,49.9,53.885,56.769,61.076,65.075,69.342,73.47,77.887,82.321,86.808,91.26,95.777,100.58,104.89,109.34,113.993,118.339
E01000045,22.425,22.911,23.257,23.431,23.629,23.848,24.452,25.177,26.303,27.347,28.628,29.987,30.516,32.118,33.618,35.311,36.966,38.775,40.616,42.51,44.401,46.334,48.416,50.272,52.204,54.244,56.145
E01000046,25.134,25.678,26.49,39.142,56.655,73.233,90.608,106.948,125.179,141.559,158.108,174.385,188.358,205.349,221.107,237.385,253.065,269.636,286.14,302.658,319.015,335.528,352.922,368.677,384.844,401.634,417.389
E01000049,31.676,32.361,32.916,37.191,43.989,50.893,58.468,65.922,74.33,82.221,90.109,97.937,104.448,112.796,120.706,128.606,136.288,144.341,152.347,160.275,168.175,176.151,184.449,192.211,200.133,208.284,216.101
E01000050,65.405,66.821,67.952,69.697,74.263,79.88,86.729,93.582,102.034,121.581,130.402,139.269,145.268,154.887,163.839,173.375,182.612,192.5,202.433,212.481,222.467,232.603,243.374,253.079,263.098,273.569,283.374
