LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000032,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521,29.521
E01000033,31.699,32.95,35.907,44.55,56.019,64.714,73.408,82.103,90.776,99.471,108.166,116.86,125.577,134.271,142.966,151.661,160.356,169.05,177.767,186.461,195.156,203.851,212.567,221.262,229.957,238.673,247.368
E01000034,16.949,17.459,18.423,20.508,23.39,25.86,28.33,30.799,33.263,35.733,38.202,40.672,43.148,45.617,48.087,50.557,53.026,55.496,57.972,60.441,62.911,65.381,67.856,70.326,72.796,75.272,77.741
E01000035,7.422,7.573,8.434,12.469,17.583,21.119,24.656,28.192,31.72,35.256,38.793,42.329,45.875,49.411,52.947,56.484,60.02,63.557,67.102,70.639,74.175,77.712,81.257,84.793,88.33,91.875,95.411
E01000036,32.101,36.73,47.518,78.702,120.163,150.292,180.422,210.552,240.606,270.735,300.865,330.995,361.2,391.329,421.459,451.588,481.718,511.847,542.052,572.182,602.312,632.441,662.646,692.776,722.905,753.11,783.24
E01000037,2.643,3.01,9.621,46.468,92.612,122.892,153.172,183.452,213.656,243.936,274.216,304.496,334.851,365.131,395.411,425.691,455.97,486.25,516.606,546.886,577.166,607.445,637.801,668.081,698.361,728.716,758.996
E01000038,45.899,53.773,64.418,78.552,96.533,114.422,132.31,150.199,168.044,185.932,203.821,221.71,239.644,257.533,275.422,293.311,311.2,329.089,347.022,364.911,382.8,400.689,418.623,436.512,454.4,472.334,490.223
E01000039,22.67,24.037,29.983,55.535,88.143,110.58,133.017,155.455,177.836,200.273,222.71,245.147,267.64,290.077,312.514,334.952,357.389,379.826,402.319,424.756,447.194,469.631,492.124,514.561,536.998,559.491,581.928
E01000040,18.248,18.425,18.761,21.823,26.054,29.079,32.104,35.13,38.148,41.173,44.198,47.224,50.257,53.282,56.308,59.333,62.359,65.384,68.417,71.442,74.468,77.493,80.526,83.552,86.577,89.61,92.635
E01000041,20.383,21.584,23.815,43.766,71.389,88.896,106.403,123.91,141.373,158.88,176.387,193.894,211.445,228.952,246.458,263.965,281.472,298.979,316.53,334.037,351.544,369.051,386.601,404.108,421.615,439.166,456.673
E01000042,12.625,13.919,16.556,44.058,81.765,105.079,128.392,151.706,174.961,198.274,221.588,244.901,268.273,291.586,314.9,338.213,361.527,384.84,408.212,431.525,454.839,478.152,501.524,524.837,548.151,571.522,594.836
E01000043,18.627,21.217,26.328,74.669,141.242,182.426,223.61,264.794,305.874,347.058,388.242,429.426,470.713,511.896,553.08,594.264,635.448,676.631,717.918,759.102,800.286,841.469,882.756,923.94,965.124,1006.41,1047.594
E01000044,22.528,24.659,27.032,32.562,42.218,49.309,56.399,63.489,70.562,77.653,84.743,91.833,98.942,106.032,113.122,120.213,127.303,134.394,141.502,148.592,155.683,162.773,169.882,176.972,184.062,191.17,198.261
E01000045,22.425,22.913,23.353,23.619,23.98,24.975,25.971,26.967,27.96,28.956,29.952,30.947,31.945,32.941,33.937,34.933,35.928,36.924,37.922,38.918,39.914,40.909,41.908,42.903,43.899,44.897,45.893
E01000046,25.134,26.557,29.253,53.597,87.253,108.39,129.527,150.664,171.748,192.885,214.022,235.16,256.35,277.487,298.624,319.761,340.898,362.035,383.225,404.362,425.499,446.636,467.826,488.963,510.1,531.29,552.428
E01000049,31.676,32.199,32.735,35.089,38.81,41.754,44.699,47.643,50.579,53.524,56.468,59.412,62.363,65.307,68.252,71.196,74.14,77.084,80.035,82.98,85.924,88.868,91.819,94.763,97.707,100.659,103.603
E01000050,65.405,75.144,85.007,95.733,120.779,140.421,160.063,179.705,199.298,218.94,238.582,258.224,277.915,297.558,317.2,336.842,356.484,376.126,395.817,415.459,435.101,454.743,474.434,494.076,513.718,533.41,553.052
E01000051,2.869,3.267,3.578,4.176,5.45,6.268,7.087,7.905,8.722,9.54,10.359,11.178,11.998,12.817,13.635,14.454,15.273,16.091,16.912,17.73,18.549,19.368,20.188,21.007,21.825,22.646,23.465
E01000052,38.677,52.631,66.552,77.81,106.227,129.36,152.494,175.628,198.703,221.837,244.97,268.104,291.295,314.429,337.562,360.696,383.829,406.963,430.154,453.288,476.421,499.554,522.746,545.879,569.013,592.204,615.338
E01000053,13.745,16.098,24.277,56.107,97.09,125.19,153.29,181.391,209.421,237.521,265.621,293.721,321.892,349.992,378.092,406.192,434.293,462.393,490.563,518.664,546.764,574.864,603.034,631.135,659.235,687.405,715.506
E01000054,23.275,23.672,24.403,30.83,39.74,45.668,51.597,57.525,63.438,69.367,75.295,81.223,87.166,93.094,99.023,104.951,110.879,116.807,122.75,128.679,134.607,140.535,146.478,152.406,158.335,164.278,170.206
E01000055,13.623,15.337,18.109,38.607,67.516,85.733,103.951,122.168,140.34,158.558,176.775,194.993,213.256,231.473,249.691,267.908,286.126,304.343,322.606,340.824,359.041,377.259,395.522,413.739,431.957,450.22,468.437
E01000056,106.464,135.364,159.307,169.076,182.324,209.501,236.677,263.853,290.961,318.137,345.313,372.489,399.733,426.909,454.086,481.262,508.438,535.614,562.858,590.034,617.21,644.386,671.63,698.806,725.982,753.226,780.403
E01000057,3.73,3.979,5.446,28.073,58.154,76.25,94.346,112.443,130.494,148.59,166.687,184.783,202.925,221.021,239.118,257.214,275.31,293.407,311.548,329.645,347.741,365.838,383.979,402.076,420.172,438.314,456.41
E01000058,41.437,43.3,48.779,67.962,92.903,112.586,132.27,151.953,171.588,191.271,210.955,230.638,250.371,270.054,289.738,309.422,329.105,348.788,368.521,388.205,407.888,427.572,447.304,466.988,486.672,506.404,526.088
E01000059,4.23,4.655,9.643,36.084,69.256,91.063,112.87,134.676,156.428,178.235,200.042,221.848,243.709,265.516,287.323,309.129,330.936,352.743,374.604,396.41,418.217,440.024,461.885,483.691,505.498,527.359,549.166
E01000060,12.654,14.215,22.062,57.651,102.884,133.255,163.626,193.996,224.291,254.662,285.033,315.403,345.85,376.221,406.592,436.962,467.333,497.704,528.15,558.521,588.892,619.262,649.709,680.08,710.45,740.897,771.268
E01000061,34.036,39.231,44.13,47.949,52.803,59.754,66.706,73.658,80.592,87.544,94.495,101.447,108.416,115.368,122.319,129.271,136.222,143.174,150.143,157.095,164.046,170.998,177.967,184.919,191.87,198.839,205.791
E01000062,36.986,39.902,46.728,66.192,92.054,111.12,130.185,149.251,168.269,187.334,206.4,225.466,244.579,263.645,282.71,301.776,320.842,339.907,359.02,378.086,397.152,416.217,435.331,454.396,473.462,492.575,511.641
E01000063,39.281,43.373,51.763,72.308,100.194,121.311,142.429,163.546,184.611,205.728,226.846,247.963,269.133,290.251,311.368,332.486,353.603,374.72,395.891,417.008,438.126,459.243,480.413,501.531,522.648,543.818,564.936
E01000064,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499,43.499
E01000065,21.971,23.016,27.861,49.14,76.24,94.699,113.158,131.618,150.031,168.49,186.949,205.409,223.914,242.374,260.833,279.292,297.752,316.211,334.716,353.176,371.635,390.094,408.6,427.059,445.518,464.024,482.483
E01000066,14.116,16.159,20.484,63.754,123.022,159.788,196.555,233.321,269.995,306.761,343.527,380.293,417.151,453.917,490.683,527.449,564.215,600.981,637.839,674.605,711.372,748.138,784.996,821.762,858.528,895.386,932.152
E01000067,18.969,23.205,28.867,58.831,103.068,131.496,159.923,188.35,216.706,245.133,273.56,301.988,330.486,358.913,387.34,415.767,444.194,472.622,501.12,529.547,557.974,586.402,614.9,643.327,671.754,700.252,728.68
E01000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000069,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462,13.462
E01000070,13.979,15.624,19.591,63.58,123.36,160.238,197.117,233.996,270.782,307.661,344.54,381.419,418.39,455.268,492.147,529.026,565.904,602.783,639.754,676.633,713.512,750.39,787.361,824.24,861.119,898.09,934.968
E01000071,33.535,36.462,40.468,62.467,94.713,115.67,136.627,157.584,178.488,199.445,220.401,241.358,262.367,283.324,304.281,325.238,346.194,367.151,388.16,409.117,430.074,451.031,472.04,492.997,513.953,534.962,555.919
E01000072,9.756,10.823,13.738,48.561,95.619,124.565,153.51,182.456,211.329,240.274,269.22,298.165,327.183,356.129,385.074,414.02,442.965,471.911,500.929,529.874,558.82,587.765,616.783,645.728,674.674,703.692,732.637
E01000073,31.848,33.679,36.81,62.2,97.688,120.307,142.926,165.545,188.108,210.727,233.346,255.966,278.641,301.26,323.88,346.499,369.118,391.737,414.413,437.032,459.651,482.27,504.946,527.565,550.184,572.86,595.479
E01000074,28.632,33.955,40.411,65.46,104.419,130.29,156.161,182.032,207.839,233.71,259.581,285.452,311.388,337.259,363.13,389.001,414.872,440.743,466.679,492.55,518.421,544.292,570.228,596.099,621.97,647.906,673.777
E01000075,75.116,83.742,93.083,112.712,148.216,174.02,199.823,225.626,251.365,277.169,302.972,328.775,354.643,380.447,406.25,432.053,457.857,483.66,509.528,535.331,561.134,586.938,612.806,638.609,664.412,690.28,716.084
E01000076,32.307,35.506,39.768,61.873,94.567,115.81,137.052,158.294,179.483,200.726,221.968,243.21,264.506,285.748,306.99,328.232,349.474,370.717,392.012,413.254,434.497,455.739,477.034,498.276,519.519,540.814,562.056
E01000077,8.034,9.56,12.564,41.126,80.456,104.668,128.881,153.093,177.245,201.458,225.67,249.883,274.156,298.368,322.581,346.793,371.006,395.218,419.491,443.704,467.916,492.128,516.401,540.614,564.826,589.099,613.312
E01000078,20.016,22.014,28.726,54.302,87.29,110.111,132.931,155.752,178.515,201.336,224.156,246.976,269.854,292.674,315.495,338.316,361.136,383.956,406.834,429.654,452.475,475.295,498.173,520.993,543.814,566.691,589.512
E01000079,39.534,40.851,44.739,58.437,76.243,89.356,102.47,115.584,128.664,141.778,154.892,168.005,181.152,194.265,207.379,220.493,233.606,246.72,259.866,272.98,286.094,299.207,312.354,325.467,338.581,351.727,364.841
E01000080,33.501,34.428,35.871,46.04,60.472,75.333,90.194,105.055,119.879,134.74,149.602,164.463,179.361,194.222,209.083,223.944,238.806,253.667,268.565,283.426,298.287,313.148,328.047,342.908,357.769,372.667,387.528
E01000081,22.585,29.081,40.758,63.609,95.716,120.684,145.652,170.619,195.525,220.492,245.46,270.428,295.458,320.426,345.394,370.362,395.329,420.297,445.327,470.295,495.263,520.231,545.261,570.228,595.196,620.226,645.194
E01000082,13.164,13.682,16.572,30.022,47.072,58.792,70.512,82.232,93.923,105.642,117.362,129.082,140.832,152.552,164.272,175.992,187.712,199.432,211.181,222.901,234.621,246.341,258.09,269.81,281.53,293.279,304.999
E01000083,20.819,21.857,25.706,41.157,60.991,75.024,89.056,103.088,117.085,131.118,145.15,159.182,173.249,187.281,201.314,215.346,229.378,243.41,257.478,271.51,285.542,299.574,313.642,327.674,341.706,355.773,369.806
E01000084,27.575,31.256,38.239,53.446,74.458,90.651,106.844,123.037,139.19,155.383,171.576,187.769,204.003,220.196,236.389,252.582,268.775,284.968,301.202,317.395,333.588,349.781,366.015,382.208,398.401,414.635,430.828
