LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000039,Electric Engagement,ZEV Mandate,PHEV cars,Number,14,20,26,30,35,40,45,56,65,73,81,88,84,78,74,68,63,58,52,46,40,34,27,22,16,13,9,8
E01000040,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,32,39,44,47,51,55,62,69,75,81,85,82,77,72,67,62,56,49,43,37,31,25,20,16,12,9,7
E01000041,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,25,31,35,38,43,47,54,61,68,74,79,75,71,66,61,57,51,47,41,35,29,24,19,15,11,8,7
E01000042,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,20,27,31,34,37,40,46,53,58,63,67,63,60,56,52,48,44,39,34,29,25,20,16,12,9,7,5
E01000043,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,34,42,47,51,55,59,67,74,80,85,90,86,81,76,71,65,58,51,45,39,32,27,21,16,13,9,7
E01000044,Electric Engagement,ZEV Mandate,PHEV cars,Number,15,20,24,27,29,32,36,42,48,54,58,62,60,56,52,49,45,41,37,33,28,23,19,16,12,10,7,5
E01000045,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,26,32,36,40,44,49,57,63,70,76,82,77,73,68,63,58,53,47,42,36,30,25,19,15,12,9,6
E01000046,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,28,34,39,42,47,51,60,68,76,82,88,84,79,74,69,64,58,53,47,40,34,28,22,17,13,10,7
E01000049,Electric Engagement,ZEV Mandate,PHEV cars,Number,14,19,23,25,26,29,32,36,40,44,48,51,49,46,43,40,36,33,29,26,22,19,15,12,9,7,6,4
E01000050,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,23,26,29,31,33,37,42,47,52,56,59,56,53,50,46,43,39,35,31,27,23,19,15,11,9,6,5
E01000051,Electric Engagement,ZEV Mandate,PHEV cars,Number,11,14,15,16,17,19,21,24,28,31,33,36,34,32,30,28,26,24,21,19,17,14,11,10,7,6,4,3
E01000052,Electric Engagement,ZEV Mandate,PHEV cars,Number,28,37,43,46,50,55,60,68,76,84,90,95,91,86,81,75,69,63,56,51,44,37,30,24,19,14,10,8
E01000053,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,19,24,28,31,34,38,45,51,56,62,66,62,59,55,52,48,43,39,34,30,24,20,16,12,9,7,5
E01000054,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,25,33,38,42,47,51,59,67,73,80,84,80,75,71,66,60,55,49,43,36,30,25,19,15,12,9,6
E01000055,Electric Engagement,ZEV Mandate,PHEV cars,Number,16,22,29,33,37,40,45,52,58,64,70,74,70,66,62,58,54,49,44,38,33,27,23,18,13,10,8,6
