LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,0.0,0.0,0.361,1.099,1.853,2.5,3.276,3.673,4.349,4.779,4.778,5.165,5.085,5.05,5.091,5.074,5.026,5.225,5.255,5.558,5.955,5.951,6.639,6.817,6.66,6.909,6.866
E01000002,0.0,0.0,0.561,1.708,2.881,3.887,5.094,5.712,6.762,7.43,7.429,8.031,7.906,7.853,7.915,7.889,7.814,8.124,8.171,8.643,9.259,9.253,10.323,10.599,10.356,10.742,10.675
E01000003,0.0,0.0,0.275,0.836,1.411,1.903,2.494,2.797,3.311,3.638,3.637,3.932,3.871,3.845,3.875,3.862,3.826,3.978,4.001,4.232,4.533,4.531,5.054,5.19,5.071,5.26,5.227
E01000005,0.0,0.0,1.031,3.14,5.295,7.145,9.363,10.499,12.43,13.658,13.655,14.763,14.533,14.434,14.549,14.5,14.364,14.933,15.02,15.887,17.02,17.009,18.975,19.483,19.036,19.746,19.623
E01000006,8.359,8.735,8.917,8.993,9.071,9.137,9.217,9.259,9.328,9.373,9.371,9.411,9.283,9.228,9.232,9.205,9.129,9.15,9.153,9.184,9.225,9.22,9.291,9.309,9.123,9.148,9.098
E01000007,0.0,0.0,0.328,0.999,1.685,2.274,2.98,3.342,3.956,4.347,4.346,4.699,4.626,4.594,4.631,4.615,4.572,4.753,4.781,5.056,5.417,5.414,6.04,6.201,6.059,6.285,6.246
E01000008,273.196,285.458,290.432,290.937,291.452,291.895,292.426,292.698,293.16,293.453,293.398,293.663,289.687,287.983,288.01,287.17,284.834,284.97,284.991,285.198,285.469,285.311,285.782,285.903,280.221,280.391,278.875
E01000009,0.0,0.0,0.244,0.744,1.255,1.693,2.219,2.488,2.946,3.237,3.237,3.499,3.445,3.421,3.449,3.437,3.405,3.539,3.56,3.765,4.034,4.031,4.498,4.618,4.512,4.68,4.651
E01000011,0.0,0.0,0.065,0.198,0.335,0.452,0.592,0.664,0.786,0.863,0.863,0.933,0.919,0.912,0.92,0.917,0.908,0.944,0.949,1.004,1.076,1.075,1.199,1.231,1.203,1.248,1.24
E01000012,40.055,41.853,42.672,42.929,43.192,43.417,43.688,43.826,44.061,44.211,44.203,44.338,43.735,43.476,43.49,43.363,43.009,43.078,43.089,43.194,43.332,43.308,43.548,43.61,42.738,42.824,42.591
E01000013,0.0,0.0,2.168,6.974,12.042,17.162,22.68,27.254,32.597,35.935,39.418,42.293,42.453,43.744,43.985,44.9,44.545,46.936,48.066,49.863,51.617,51.833,55.699,55.394,54.201,54.649,54.261
E01000014,0.0,0.0,0.805,2.589,4.47,6.371,8.419,10.117,12.101,13.339,14.632,15.7,15.759,16.238,16.328,16.668,16.536,17.423,17.843,18.51,19.161,19.241,20.676,20.563,20.12,20.286,20.142
E01000015,0.0,0.0,1.051,3.381,5.839,8.321,10.997,13.214,15.805,17.423,19.112,20.506,20.583,21.209,21.326,21.77,21.598,22.757,23.305,24.176,25.026,25.131,27.006,26.858,26.279,26.497,26.308
E01000016,9.705,9.962,11.58,14.748,18.088,21.463,25.1,28.114,31.636,33.836,36.132,38.026,38.132,38.982,39.141,39.745,39.441,41.017,41.761,42.946,44.102,44.245,46.793,46.544,45.57,45.866,45.549
E01000017,75.198,77.186,78.865,79.338,79.838,80.342,80.885,81.336,81.862,82.191,82.534,82.817,82.833,82.96,82.983,83.074,82.499,82.734,82.846,83.022,83.195,83.217,83.597,83.196,81.628,81.672,81.166
E01000018,0.0,0.0,0.279,0.898,1.551,2.21,2.921,3.51,4.198,4.628,5.077,5.447,5.467,5.634,5.665,5.783,5.737,6.045,6.19,6.422,6.648,6.675,7.173,7.134,6.98,7.038,6.988
E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,0.0,0.0,0.074,0.227,0.383,0.516,0.676,0.758,0.898,0.987,0.986,1.066,1.05,1.043,1.051,1.047,1.038,1.079,1.085,1.148,1.229,1.229,1.371,1.407,1.375,1.426,1.417
E01000021,0.0,0.0,0.214,0.652,1.1,1.484,1.945,2.18,2.581,2.836,2.836,3.066,3.018,2.998,3.022,3.011,2.983,3.101,3.119,3.299,3.535,3.532,3.941,4.046,3.953,4.101,4.075
E01000022,0.0,0.0,0.04,0.12,0.203,0.274,0.359,0.403,0.477,0.524,0.524,0.567,0.558,0.554,0.558,0.556,0.551,0.573,0.576,0.61,0.653,0.653,0.728,0.748,0.73,0.758,0.753
E01000024,0.0,0.0,0.033,0.099,0.167,0.226,0.296,0.332,0.393,0.432,0.432,0.467,0.459,0.456,0.46,0.458,0.454,0.472,0.475,0.502,0.538,0.538,0.6,0.616,0.602,0.624,0.62
