LSOA21CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000027,Domestic battery capacity,Hydrogen Evolution,Medium,kW,18.301,24.848,32.361,37.797,40.366,43.3,46.595,50.313,53.614,57.765,60.73,64.908,69.042,70.646,74.903,78.795,83.973,89.069,95.845,102.48,110.032,116.984,124.043,132.752,138.002,143.354,149.739,154.517
E01000028,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.126,0.421,0.765,1.143,1.595,1.926,2.453,2.769,3.302,3.91,4.002,4.677,5.27,6.229,7.197,8.322,9.495,10.773,12.059,13.352,14.947,16.126,17.28,18.733,19.83
E01000029,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.423,1.409,2.56,3.826,5.337,6.446,8.207,9.265,11.05,13.085,13.392,15.651,17.634,20.844,24.082,27.849,31.772,36.048,40.351,44.679,50.016,53.96,57.823,62.685,66.355
E01000030,Domestic battery capacity,Hydrogen Evolution,Medium,kW,4.162,4.947,5.856,6.595,7.082,7.65,8.275,9.021,9.569,10.439,10.961,11.842,12.847,12.999,14.114,15.093,16.678,18.277,20.137,22.074,24.185,26.31,28.447,31.082,33.029,34.937,37.337,39.149
E01000031,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.305,4.298,7.718,11.558,15.891,19.738,24.576,28.032,32.901,37.719,39.589,44.55,49.086,55.12,61.059,68.956,76.69,85.491,93.593,101.82,111.969,118.089,124.326,131.768,137.336
E01000032,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.635,3.578,4.66,6.832,10.39,14.454,19.018,24.167,28.739,34.489,38.596,44.383,50.109,52.331,58.227,63.618,70.79,77.848,87.233,96.424,106.884,116.513,126.29,138.352,145.625,153.037,161.882,168.5
E01000033,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.357,4.471,8.028,12.024,16.531,20.532,25.565,29.16,34.226,39.238,41.182,46.343,51.062,57.339,63.517,71.733,79.777,88.933,97.361,105.919,116.477,122.843,129.331,137.073,142.865
E01000034,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.196,2.982,3.883,4.925,6.128,7.501,9.044,10.784,12.329,14.272,15.66,17.616,19.551,20.302,22.295,24.117,26.541,28.926,32.098,35.204,38.739,41.993,45.298,49.374,51.832,54.337,57.326,59.563
E01000035,Domestic battery capacity,Hydrogen Evolution,Medium,kW,3.66,4.97,6.472,8.274,10.427,12.887,15.649,18.766,21.533,25.013,27.499,31.001,34.467,35.812,39.38,42.643,46.984,51.256,56.936,62.499,68.829,74.657,80.575,87.875,92.277,96.763,102.116,106.122
E01000036,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.694,3.658,4.764,6.746,9.835,13.364,17.327,21.799,25.768,30.761,34.328,39.353,44.326,46.255,51.375,56.056,62.284,68.412,76.562,84.543,93.626,101.987,110.478,120.952,127.267,133.704,141.384,147.131
E01000037,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.635,3.578,4.66,6.433,9.073,12.089,15.477,19.299,22.693,26.96,30.009,34.304,38.555,40.203,44.58,48.581,53.904,59.143,66.109,72.931,80.695,87.842,95.099,104.052,109.45,114.952,121.516,126.428
E01000038,Domestic battery capacity,Hydrogen Evolution,Medium,kW,3.66,4.97,6.472,8.133,9.964,12.054,14.403,17.052,19.404,22.362,24.475,27.452,30.398,31.541,34.575,37.348,41.038,44.669,49.498,54.226,59.607,64.561,69.591,75.797,79.538,83.352,87.902,91.307
E01000039,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,2.099,6.915,12.416,18.594,25.564,31.753,39.536,45.096,52.929,60.681,63.688,71.669,78.966,88.674,98.228,110.933,123.374,137.533,150.567,163.802,180.129,189.974,200.008,211.98,220.938
E01000040,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.395,1.316,2.39,3.572,4.983,6.018,7.663,8.65,10.317,12.217,12.504,14.613,16.464,19.462,22.484,26.001,29.665,33.657,37.674,41.716,46.698,50.381,53.988,58.527,61.953
E01000041,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.425,1.419,2.577,3.85,5.371,6.487,8.261,9.325,11.121,13.169,13.479,15.752,17.748,20.98,24.238,28.029,31.978,36.281,40.612,44.969,50.34,54.31,58.198,63.092,66.785
E01000042,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.305,1.018,1.848,2.762,3.853,4.653,5.925,6.688,7.977,9.446,9.668,11.299,12.731,15.048,17.385,20.105,22.937,26.024,29.131,32.255,36.108,38.956,41.744,45.255,47.904
E01000043,Domestic battery capacity,Hydrogen Evolution,Medium,kW,6.06,7.202,8.527,9.725,10.721,11.883,13.16,14.685,15.804,17.583,18.65,20.451,22.505,22.816,25.095,27.097,30.337,33.605,37.407,41.367,45.682,50.026,54.394,59.78,63.762,67.66,72.568,76.271
E01000044,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.167,0.556,1.009,1.508,2.104,2.541,3.236,3.653,4.357,5.159,5.281,6.171,6.953,8.219,9.495,10.981,12.528,14.213,15.91,17.617,19.721,21.276,22.799,24.717,26.163
E01000045,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.08,0.267,0.486,0.726,1.013,1.223,1.558,1.758,2.097,2.483,2.542,2.97,3.347,3.956,4.57,5.285,6.03,6.841,7.658,8.479,9.492,10.24,10.973,11.896,12.593
E01000046,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.541,1.804,3.276,4.896,6.83,8.249,10.504,11.857,14.141,16.745,17.139,20.029,22.567,26.676,30.819,35.639,40.661,46.132,51.639,57.178,64.008,69.056,73.999,80.222,84.918
E01000049,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.184,0.613,1.113,1.663,2.319,2.801,3.567,4.026,4.802,5.686,5.82,6.802,7.663,9.059,10.466,12.103,13.808,15.666,17.536,19.417,21.736,23.45,25.129,27.242,28.837
E01000050,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.364,1.215,2.207,3.298,4.601,5.557,7.076,7.988,9.527,11.281,11.547,13.494,15.204,17.971,20.763,24.01,27.393,31.079,34.789,38.521,43.122,46.523,49.853,54.046,57.209
E01000051,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.004,0.013,0.024,0.036,0.05,0.06,0.077,0.086,0.103,0.122,0.125,0.146,0.164,0.194,0.224,0.26,0.296,0.336,0.376,0.416,0.466,0.503,0.539,0.584,0.618
E01000052,Domestic battery capacity,Hydrogen Evolution,Medium,kW,7.209,8.568,10.143,11.265,11.742,12.298,12.909,13.639,14.175,15.026,15.537,16.399,17.382,17.531,18.622,19.58,21.131,22.695,24.515,26.41,28.476,30.555,32.645,35.223,37.129,38.995,41.344,43.117
E01000053,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.974,3.207,5.758,8.624,11.857,14.727,18.336,20.915,24.548,28.143,29.538,33.239,36.624,41.126,45.557,51.45,57.22,63.786,69.831,75.97,83.542,88.108,92.762,98.314,102.469
E01000054,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.478,1.595,2.898,4.33,6.041,7.296,9.29,10.487,12.507,14.81,15.159,17.715,19.96,23.594,27.258,31.521,35.963,40.802,45.673,50.572,56.612,61.077,65.449,70.953,75.106
E01000055,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.225,0.751,1.364,2.038,2.843,3.434,4.373,4.936,5.887,6.971,7.135,8.338,9.395,11.105,12.83,14.837,16.927,19.205,21.497,23.803,26.646,28.748,30.806,33.396,35.351
E01000056,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.235,0.785,1.426,2.131,2.973,3.591,4.573,5.162,6.156,7.29,7.461,8.72,9.825,11.613,13.417,15.516,17.702,20.084,22.481,24.893,27.866,30.064,32.216,34.925,36.969
E01000057,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.351,1.17,2.125,3.175,4.429,5.349,6.811,7.689,9.17,10.859,11.114,12.989,14.634,17.299,19.985,23.111,26.368,29.916,33.487,37.079,41.508,44.781,47.987,52.022,55.067
E01000058,Domestic battery capacity,Hydrogen Evolution,Medium,kW,6.398,8.687,11.314,15.196,20.64,26.859,33.844,41.725,48.721,57.52,63.806,72.662,81.426,84.825,93.848,102.098,113.074,123.875,138.239,152.304,168.311,183.047,198.01,216.469,227.599,238.943,252.478,262.606
E01000059,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.177,3.878,6.962,10.427,14.336,17.806,22.171,25.289,29.681,34.028,35.714,40.19,44.282,49.726,55.084,62.208,69.184,77.124,84.433,91.855,101.011,106.532,112.159,118.872,123.896
E01000060,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.39,4.578,8.22,12.31,16.925,21.022,26.175,29.856,35.042,40.174,42.165,47.449,52.28,58.707,65.033,73.444,81.68,91.054,99.683,108.446,119.255,125.773,132.416,140.342,146.273
E01000061,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.242,0.798,1.432,2.145,2.949,3.663,4.561,5.203,6.106,7.001,7.347,8.268,9.11,10.23,11.332,12.798,14.233,15.867,17.37,18.897,20.781,21.917,23.074,24.455,25.489
E01000062,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.694,3.658,4.764,6.961,10.544,14.637,19.234,24.42,29.025,34.816,38.953,44.782,50.549,52.787,58.725,64.155,71.378,78.487,87.94,97.197,107.732,117.43,127.278,139.427,146.751,154.217,163.125,169.791
E01000063,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.371,4.515,8.107,12.142,16.693,20.734,25.816,29.447,34.562,39.624,41.587,46.799,51.564,57.903,64.142,72.438,80.561,89.807,98.318,106.96,117.622,124.05,130.602,138.42,144.269
E01000064,Domestic battery capacity,Hydrogen Evolution,Medium,kW,5.388,7.315,9.527,12.088,15.049,18.43,22.228,26.512,30.316,35.1,38.518,43.333,48.097,49.946,54.852,59.337,65.304,71.177,78.987,86.634,95.337,103.349,111.484,121.52,127.572,133.739,141.098,146.605
E01000065,Domestic battery capacity,Hydrogen Evolution,Medium,kW,3.66,4.97,6.472,9.53,14.563,20.312,26.769,34.054,40.522,48.656,54.467,62.654,70.755,73.898,82.24,89.866,100.013,109.998,123.276,136.279,151.076,164.699,178.532,195.596,205.885,216.372,228.885,238.247
E01000066,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.361,1.205,2.189,3.272,4.564,5.512,7.019,7.923,9.45,11.19,11.453,13.385,15.081,17.826,20.595,23.816,27.172,30.828,34.508,38.21,42.773,46.147,49.45,53.609,56.747
E01000067,Domestic battery capacity,Hydrogen Evolution,Medium,kW,4.994,5.936,7.028,7.88,8.384,8.971,9.618,10.39,10.956,11.856,12.396,13.308,14.347,14.504,15.658,16.671,18.311,19.964,21.888,23.892,26.076,28.274,30.485,33.211,35.226,37.199,39.682,41.556
E01000068,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.322,1.073,1.949,2.913,4.063,4.908,6.249,7.054,8.413,9.963,10.197,11.917,13.427,15.871,18.336,21.204,24.192,27.447,30.723,34.019,38.082,41.086,44.027,47.729,50.523
E01000069,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000070,Domestic battery capacity,Hydrogen Evolution,Medium,kW,4.162,4.947,5.856,6.818,7.828,9.004,10.298,11.843,12.977,14.778,15.859,17.684,19.765,20.08,22.389,24.416,27.699,31.009,34.86,38.872,43.243,47.643,52.069,57.525,61.558,65.508,70.479,74.231
E01000071,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.402,1.342,2.437,3.642,5.081,6.137,7.814,8.821,10.521,12.458,12.751,14.902,16.79,19.846,22.929,26.515,30.251,34.321,38.419,42.54,47.621,51.376,55.054,59.684,63.177
E01000072,Domestic battery capacity,Hydrogen Evolution,Medium,kW,3.063,3.641,4.31,5.058,5.895,6.869,7.942,9.222,10.162,11.654,12.55,14.062,15.786,16.047,17.961,19.641,22.361,25.104,28.295,31.62,35.242,38.888,42.555,47.076,50.418,53.691,57.811,60.92
