LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Counterfactual,Low,EV PHVs,Number,1,2,2,3,2,3,3,3,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E01000002,Counterfactual,Low,EV PHVs,Number,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E01000003,Counterfactual,Low,EV PHVs,Number,2,1,2,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E01000005,Counterfactual,Low,EV PHVs,Number,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E01000006,Counterfactual,Low,EV PHVs,Number,4,5,6,7,8,9,10,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
E01000007,Counterfactual,Low,EV PHVs,Number,9,10,10,13,16,17,18,20,22,23,23,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
E01000008,Counterfactual,Low,EV PHVs,Number,5,6,6,8,9,10,11,12,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
E01000009,Counterfactual,Low,EV PHVs,Number,11,11,13,16,18,20,22,24,25,27,28,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
E01000011,Counterfactual,Low,EV PHVs,Number,4,4,5,6,7,8,9,9,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
E01000012,Counterfactual,Low,EV PHVs,Number,6,6,6,8,10,10,12,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
E01000013,Counterfactual,Low,EV PHVs,Number,8,8,9,11,14,15,16,18,19,19,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
E01000014,Counterfactual,Low,EV PHVs,Number,6,6,7,8,11,12,12,13,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
E01000015,Counterfactual,Low,EV PHVs,Number,7,8,8,10,12,14,15,16,17,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
E01000016,Counterfactual,Low,EV PHVs,Number,7,7,8,10,12,14,15,16,17,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
E01000017,Counterfactual,Low,EV PHVs,Number,3,3,3,3,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
E01000018,Counterfactual,Low,EV PHVs,Number,4,4,5,6,7,8,9,9,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
E01000019,Counterfactual,Low,EV PHVs,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Counterfactual,Low,EV PHVs,Number,16,18,19,24,28,31,33,36,39,41,43,45,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
E01000021,Counterfactual,Low,EV PHVs,Number,13,13,14,18,21,23,26,27,29,31,33,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
E01000022,Counterfactual,Low,EV PHVs,Number,6,7,7,8,11,12,13,13,15,15,16,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
E01000024,Counterfactual,Low,EV PHVs,Number,6,6,7,7,9,11,12,12,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
E01000025,Counterfactual,Low,EV PHVs,Number,13,14,15,19,22,24,27,28,30,32,34,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
E01000027,Counterfactual,Low,EV PHVs,Number,10,10,12,15,17,18,20,22,24,24,25,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
E01000028,Counterfactual,Low,EV PHVs,Number,11,12,12,16,19,21,23,24,26,27,29,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
E01000029,Counterfactual,Low,EV PHVs,Number,7,9,9,12,14,15,17,18,19,20,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
E01000030,Counterfactual,Low,EV PHVs,Number,14,16,17,21,25,28,31,33,35,36,38,40,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
E01000031,Counterfactual,Low,EV PHVs,Number,9,9,10,12,14,16,18,19,20,21,21,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
E01000032,Counterfactual,Low,EV PHVs,Number,13,13,14,19,22,24,26,28,30,32,33,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
E01000033,Counterfactual,Low,EV PHVs,Number,12,12,13,17,20,22,24,26,28,29,31,32,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
E01000034,Counterfactual,Low,EV PHVs,Number,4,4,4,5,6,7,7,8,8,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
E01000035,Counterfactual,Low,EV PHVs,Number,11,12,13,17,20,22,25,26,28,29,31,32,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
E01000036,Counterfactual,Low,EV PHVs,Number,12,14,15,18,22,24,26,28,30,31,33,34,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
E01000037,Counterfactual,Low,EV PHVs,Number,7,8,8,10,12,14,15,17,17,18,19,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
E01000038,Counterfactual,Low,EV PHVs,Number,6,5,6,8,9,10,11,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
E01000039,Counterfactual,Low,EV PHVs,Number,15,16,18,22,27,29,32,35,36,38,40,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
E01000040,Counterfactual,Low,EV PHVs,Number,27,30,32,41,48,53,58,62,67,70,74,77,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
E01000041,Counterfactual,Low,EV PHVs,Number,8,8,9,12,14,15,17,18,19,20,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
E01000042,Counterfactual,Low,EV PHVs,Number,9,10,10,13,15,17,19,20,21,23,23,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
E01000043,Counterfactual,Low,EV PHVs,Number,25,27,28,36,43,47,52,56,60,63,66,69,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
