LSOA21CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.006,0.021,0.037,0.053,0.072,0.08,0.1,0.104,0.121,0.14,0.13,0.149,0.159,0.19,0.218,0.255,0.294,0.34,0.385,0.431,0.494,0.532,0.57,0.624,0.666
E01000002,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.015,0.048,0.085,0.122,0.166,0.186,0.232,0.241,0.28,0.324,0.301,0.344,0.367,0.438,0.503,0.589,0.68,0.786,0.891,0.997,1.142,1.229,1.318,1.443,1.54
E01000003,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.001,0.002,0.004,0.005,0.007,0.008,0.01,0.01,0.012,0.013,0.012,0.014,0.015,0.018,0.021,0.024,0.028,0.033,0.037,0.041,0.047,0.051,0.054,0.06,0.064
E01000005,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.001,0.004,0.007,0.01,0.014,0.015,0.019,0.02,0.023,0.027,0.025,0.028,0.03,0.036,0.042,0.049,0.056,0.065,0.074,0.083,0.095,0.102,0.109,0.12,0.128
E01000006,Domestic battery capacity,Counterfactual,Low,kW,8.324,9.613,11.044,11.96,12.223,12.516,12.814,13.156,13.319,13.686,13.76,14.066,14.417,13.365,13.706,13.891,14.46,14.976,15.655,16.377,17.219,18.051,18.894,20.048,20.74,21.443,22.442,23.206
E01000007,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.097,0.312,0.552,0.796,1.077,1.21,1.511,1.571,1.821,2.11,1.955,2.235,2.387,2.853,3.276,3.831,4.423,5.113,5.794,6.485,7.43,7.996,8.572,9.391,10.017
E01000008,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.022,0.072,0.127,0.183,0.247,0.278,0.347,0.361,0.418,0.484,0.449,0.513,0.548,0.655,0.752,0.88,1.016,1.174,1.33,1.489,1.706,1.836,1.968,2.156,2.3
E01000009,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.184,0.595,1.053,1.519,2.054,2.308,2.882,2.998,3.475,4.025,3.731,4.264,4.553,5.443,6.249,7.31,8.439,9.754,11.055,12.372,14.175,15.256,16.355,17.916,19.11
E01000011,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.11,0.357,0.631,0.91,1.23,1.382,1.726,1.795,2.081,2.41,2.234,2.554,2.727,3.259,3.742,4.377,5.054,5.841,6.62,7.409,8.489,9.136,9.794,10.729,11.444
E01000012,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.091,0.296,0.523,0.754,1.02,1.146,1.431,1.489,1.726,1.998,1.853,2.117,2.261,2.703,3.103,3.63,4.19,4.843,5.489,6.143,7.039,7.575,8.121,8.896,9.489
E01000013,Domestic battery capacity,Counterfactual,Low,kW,7.613,9.928,12.48,15.676,19.618,23.948,28.596,33.624,37.498,42.802,45.424,50.199,54.573,53.624,57.588,60.487,65.588,70.229,78.158,86.039,95.972,104.893,114.259,126.65,133.425,140.956,150.129,157.202
E01000014,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,1.263,4.048,7.108,10.393,13.946,16.683,20.431,22.284,25.658,28.749,28.249,31.05,33.098,36.703,39.983,45.585,51.154,58.173,64.477,71.095,79.851,84.639,89.961,96.442,101.441
E01000015,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,1.031,3.306,5.805,8.488,11.39,13.626,16.687,18.201,20.957,23.481,23.073,25.361,27.033,29.978,32.656,37.232,41.781,47.514,52.663,58.068,65.22,69.13,73.477,78.771,82.853
E01000016,Domestic battery capacity,Counterfactual,Low,kW,5.388,7.026,8.832,11.224,14.3,17.68,21.308,25.232,28.256,32.395,34.441,38.169,41.582,40.859,43.953,46.215,50.197,53.819,60.007,66.158,73.911,80.873,88.183,97.854,103.142,109.019,116.179,121.699
E01000017,Domestic battery capacity,Counterfactual,Low,kW,13.001,16.954,21.312,24.189,25.229,26.37,27.596,28.922,29.943,31.342,32.033,33.292,34.445,33.846,34.891,35.656,37.001,38.224,40.315,42.393,45.012,47.364,49.833,53.1,54.887,56.872,59.291,61.156
E01000018,Domestic battery capacity,Counterfactual,Low,kW,2.694,3.513,4.416,5.767,7.647,9.712,11.929,14.326,16.174,18.703,19.954,22.231,24.317,23.894,25.785,27.167,29.6,31.813,35.594,39.353,44.09,48.345,52.811,58.72,61.951,65.543,69.918,73.291
E01000019,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Domestic battery capacity,Counterfactual,Low,kW,2.997,3.461,3.976,4.643,5.491,6.435,7.396,8.5,9.024,10.208,10.446,11.43,12.564,11.646,12.746,13.343,15.177,16.841,19.027,21.356,24.069,26.752,29.469,33.187,35.416,37.683,40.903,43.366
E01000021,Domestic battery capacity,Counterfactual,Low,kW,2.997,3.461,3.976,4.565,5.238,5.988,6.751,7.627,8.043,8.983,9.172,9.954,10.854,10.061,10.934,11.408,12.864,14.185,15.921,17.771,19.924,22.054,24.211,27.164,28.934,30.733,33.29,35.245
E01000022,Domestic battery capacity,Counterfactual,Low,kW,3.063,3.537,4.064,4.545,4.962,5.426,5.898,6.441,6.699,7.281,7.398,7.882,8.44,7.823,8.364,8.657,9.56,10.378,11.453,12.598,13.932,15.251,16.587,18.416,19.512,20.627,22.21,23.421
E01000024,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.167,0.541,0.958,1.381,1.868,2.099,2.62,2.725,3.159,3.659,3.392,3.877,4.14,4.948,5.682,6.645,7.672,8.868,10.05,11.248,12.887,13.87,14.869,16.289,17.374
E01000025,Domestic battery capacity,Counterfactual,Low,kW,2.997,3.461,3.976,4.638,5.474,6.405,7.352,8.441,8.957,10.124,10.359,11.33,12.447,11.538,12.623,13.21,15.019,16.659,18.815,21.112,23.786,26.431,29.11,32.776,34.974,37.208,40.383,42.811
E01000027,Domestic battery capacity,Counterfactual,Low,kW,18.301,23.866,30,34.266,36.204,38.332,40.618,43.089,44.994,47.601,48.89,51.238,53.388,52.46,54.409,55.833,58.342,60.623,64.521,68.395,73.279,77.665,82.269,88.36,91.691,95.393,99.903,103.38
E01000028,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.095,0.307,0.544,0.784,1.06,1.191,1.487,1.547,1.793,2.077,1.925,2.2,2.35,2.809,3.225,3.772,4.355,5.033,5.705,6.384,7.315,7.873,8.44,9.245,9.861
E01000029,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.318,1.028,1.819,2.623,3.548,3.986,4.977,5.176,6.001,6.95,6.442,7.363,7.862,9.398,10.791,12.622,14.572,16.843,19.089,21.364,24.477,26.344,28.241,30.937,32.999
E01000030,Domestic battery capacity,Counterfactual,Low,kW,4.162,4.806,5.522,6.078,6.428,6.819,7.216,7.672,7.889,8.378,8.477,8.884,9.352,8.669,9.124,9.371,10.129,10.817,11.721,12.683,13.805,14.914,16.037,17.574,18.496,19.433,20.764,21.782
E01000031,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,1.024,3.282,5.763,8.427,11.307,13.527,16.566,18.068,20.804,23.31,22.905,25.176,26.837,29.76,32.419,36.961,41.477,47.168,52.28,57.646,64.745,68.627,72.942,78.197,82.25
E01000032,Domestic battery capacity,Counterfactual,Low,kW,2.635,3.437,4.32,6.025,8.709,11.657,14.822,18.246,20.884,24.496,26.281,29.533,32.511,31.945,34.645,36.618,40.092,43.252,48.651,54.018,60.781,66.856,73.234,81.671,86.284,91.412,97.658,102.475
E01000033,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,1.065,3.414,5.995,8.766,11.763,14.072,17.233,18.795,21.642,24.248,23.827,26.19,27.917,30.958,33.724,38.449,43.147,49.067,54.384,59.966,67.352,71.39,75.878,81.346,85.561
E01000034,Domestic battery capacity,Counterfactual,Low,kW,2.196,2.864,3.6,4.418,5.325,6.321,7.391,8.548,9.44,10.66,11.264,12.363,13.369,13.137,14.049,14.716,15.89,16.958,18.782,20.596,22.882,24.935,27.09,29.942,31.501,33.234,35.345,36.973
E01000035,Domestic battery capacity,Counterfactual,Low,kW,3.66,4.773,6,7.414,9.038,10.823,12.739,14.811,16.407,18.593,19.674,21.642,23.444,23.037,24.67,25.865,27.967,29.88,33.148,36.396,40.489,44.166,48.026,53.133,55.925,59.029,62.809,65.724
E01000036,Domestic battery capacity,Counterfactual,Low,kW,2.694,3.513,4.416,5.971,8.302,10.862,13.611,16.584,18.875,22.011,23.561,26.385,28.971,28.467,30.811,32.525,35.541,38.285,42.973,47.633,53.507,58.782,64.32,71.646,75.653,80.106,85.529,89.712
E01000037,Domestic battery capacity,Counterfactual,Low,kW,2.635,3.437,4.32,5.711,7.703,9.891,12.241,14.782,16.74,19.421,20.746,23.16,25.37,24.929,26.932,28.397,30.976,33.321,37.328,41.312,46.332,50.841,55.574,61.837,65.261,69.067,73.704,77.278
E01000038,Domestic battery capacity,Counterfactual,Low,kW,3.66,4.773,6,7.303,8.684,10.201,11.83,13.591,14.948,16.806,17.725,19.398,20.93,20.566,21.955,22.97,24.757,26.383,29.161,31.921,35.401,38.527,41.808,46.148,48.522,51.16,54.374,56.851
E01000039,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,1.647,5.28,9.271,13.556,18.191,21.761,26.65,29.067,33.469,37.5,36.848,40.502,43.173,47.875,52.153,59.461,66.725,75.881,84.104,92.737,104.158,110.403,117.345,125.799,132.319
E01000040,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.297,0.96,1.698,2.449,3.312,3.721,4.647,4.833,5.603,6.489,6.015,6.875,7.341,8.775,10.075,11.785,13.605,15.726,17.823,19.947,22.854,24.596,26.368,28.885,30.81
E01000041,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.32,1.035,1.831,2.64,3.57,4.012,5.009,5.21,6.04,6.995,6.484,7.411,7.913,9.459,10.861,12.704,14.666,16.952,19.213,21.502,24.636,26.514,28.424,31.138,33.213
E01000042,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.23,0.742,1.313,1.894,2.561,2.877,3.593,3.737,4.332,5.017,4.651,5.316,5.676,6.785,7.79,9.112,10.52,12.159,13.781,15.423,17.671,19.018,20.388,22.335,23.823
E01000043,Domestic battery capacity,Counterfactual,Low,kW,6.06,6.998,8.04,8.942,9.658,10.456,11.268,12.201,12.644,13.644,13.845,14.677,15.635,14.494,15.423,15.927,17.477,18.883,20.731,22.699,24.991,27.258,29.554,32.697,34.58,36.496,39.217,41.298
E01000044,Domestic battery capacity,Counterfactual,Low,kW,0,0,0,0.125,0.405,0.717,1.034,1.399,1.572,1.962,2.041,2.366,2.74,2.54,2.903,3.1,3.706,4.255,4.977,5.746,6.641,7.527,8.424,9.651,10.387,11.135,12.199,13.011
