LSOA21CD,GSP,Scenario_world,Scenario,Parameter,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000082,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000083,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000084,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000085,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000086,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000087,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,1,0,1,1,1,2,3,3,4,5,5,6,7,7,7,7,8,9,8,8,9
E01000088,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000089,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000090,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,1,1,2,3,6,10,15,22,30,39,47,57,66,75,85,93,100,107,113,118,121,125,127,128,130
E01000091,Barking West 33kV,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000093,Barking West 33kV,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,3,3,4,4,4,4,5,4,5,5,5
E01000094,Barking West 33kV,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,1,1,2,3,5,8,11,14,17,22,25,28,31,35,38,40,43,45,46,47,48,48,49
E01000095,Barking West 33kV,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,1,3,5,9,15,26,40,57,78,100,124,149,174,198,221,243,262,280,296,308,319,327,333,337,341
E01000096,Barking West 33kV,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,1,1,1,2,4,6,8,9,12,14,16,19,21,22,25,26,28,29,30,31,31,32,33
E01000097,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000098,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000099,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,1,1,0,1,2,3,4,7,9,11,13,16,19,22,25,27,29,32,33,34,35,37,37,38,37
E01000100,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000101,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000102,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000103,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000104,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000105,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000106,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000107,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000108,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000110,Barking 132,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000111,Barking 132,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000112,Barking 132,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000113,Barking 132,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000114,Barking West (EPN),Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000115,Mill Hill and Hendon,Hydrogen Evolution,Hydrogen Evolution,BEV HGVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
