LSOA21CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.012,0.043,0.082,0.129,0.189,0.246,0.321,0.388,0.473,0.568,0.64,0.752,0.866,1.008,1.158,1.318,1.479,1.645,1.811,1.975,2.156,2.312,2.463,2.629,2.752
E01000002,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.028,0.1,0.189,0.298,0.436,0.57,0.741,0.896,1.093,1.313,1.48,1.738,2.002,2.33,2.677,3.046,3.419,3.803,4.186,4.567,4.985,5.346,5.694,6.078,6.362
E01000003,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.001,0.004,0.008,0.012,0.018,0.024,0.031,0.037,0.045,0.054,0.061,0.072,0.083,0.096,0.111,0.126,0.141,0.157,0.173,0.189,0.206,0.221,0.236,0.251,0.263
E01000005,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.002,0.008,0.016,0.025,0.036,0.047,0.061,0.074,0.091,0.109,0.123,0.144,0.166,0.193,0.222,0.253,0.283,0.315,0.347,0.379,0.413,0.443,0.472,0.504,0.527
E01000006,Domestic battery capacity,Holistic Transition,High,kW,8.324,10.306,12.75,14.499,15.065,15.776,16.641,17.739,18.799,20.163,21.394,22.956,24.707,26.027,28.077,30.177,32.784,35.537,38.47,41.435,44.481,47.528,50.55,53.871,56.738,59.503,62.557,64.806
E01000007,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.184,0.648,1.23,1.939,2.838,3.706,4.824,5.832,7.111,8.545,9.627,11.305,13.026,15.161,17.416,19.818,22.247,24.742,27.238,29.713,32.433,34.782,37.047,39.548,41.39
E01000008,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.042,0.149,0.282,0.445,0.652,0.851,1.108,1.339,1.633,1.962,2.21,2.596,2.991,3.481,3.999,4.551,5.108,5.681,6.254,6.822,7.447,7.986,8.506,9.081,9.504
E01000009,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.352,1.235,2.346,3.699,5.414,7.071,9.203,11.126,13.567,16.303,18.367,21.569,24.851,28.926,33.227,37.81,42.445,47.204,51.966,56.688,61.878,66.359,70.68,75.452,78.967
E01000011,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.211,0.74,1.405,2.215,3.242,4.234,5.511,6.663,8.125,9.763,10.999,12.917,14.882,17.322,19.898,22.643,25.418,28.269,31.12,33.948,37.056,39.74,42.327,45.185,47.29
E01000012,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.175,0.613,1.165,1.837,2.689,3.511,4.57,5.525,6.737,8.096,9.12,10.71,12.34,14.363,16.499,18.775,21.076,23.44,25.804,28.149,30.726,32.951,35.097,37.466,39.211
E01000013,Domestic battery capacity,Holistic Transition,High,kW,7.613,10.936,14.977,20.559,28.147,37.317,48.232,61.164,73.966,88.766,101.911,117.598,133.593,145.644,162.509,179.016,197.832,216.522,237.294,256.841,276.814,294.957,312.319,331.709,343.968,355.175,367.668,376.279
E01000014,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,2.205,7.568,14.047,21.76,30.898,39.945,50.403,59.692,70.776,82.079,90.595,102.512,114.176,127.473,140.68,155.358,169.17,183.284,196.105,208.373,222.075,230.738,238.657,247.485,253.57
E01000015,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,1.801,6.181,11.473,17.773,25.237,32.625,41.167,48.754,57.808,67.039,73.995,83.729,93.255,104.115,114.903,126.891,138.173,149.7,160.171,170.192,181.383,188.459,194.927,202.137,207.107
E01000016,Domestic battery capacity,Holistic Transition,High,kW,5.388,7.739,10.599,14.777,20.699,27.856,36.375,46.468,56.459,68.01,78.27,90.513,102.997,112.403,125.565,138.448,153.134,167.721,183.933,199.189,214.777,228.937,242.488,257.622,267.19,275.936,285.687,292.408
E01000017,Domestic battery capacity,Holistic Transition,High,kW,13.001,18.675,25.576,30.602,32.602,35.02,37.898,41.307,44.683,48.585,52.051,56.187,60.404,63.582,68.029,72.381,77.342,82.27,87.747,92.9,98.166,102.95,107.528,112.64,115.873,118.827,122.121,124.392
E01000018,Domestic battery capacity,Holistic Transition,High,kW,2.694,3.87,5.3,7.659,11.278,15.651,20.856,27.023,33.129,40.187,46.456,53.937,61.565,67.313,75.355,83.227,92.201,101.114,111.021,120.342,129.868,138.52,146.8,156.047,161.894,167.239,173.197,177.303
E01000019,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Domestic battery capacity,Holistic Transition,High,kW,2.997,3.71,4.59,5.864,7.687,9.977,12.768,16.306,19.721,24.119,28.086,33.12,38.764,43.019,49.624,56.393,64.797,73.668,83.121,92.679,102.496,112.316,122.055,132.759,142.001,150.913,160.754,168.005
E01000021,Domestic battery capacity,Holistic Transition,High,kW,2.997,3.71,4.59,5.715,7.162,8.98,11.196,14.005,16.717,20.209,23.358,27.355,31.836,35.215,40.459,45.833,52.506,59.549,67.055,74.643,82.437,90.235,97.967,106.465,113.804,120.88,128.693,134.45
E01000022,Domestic battery capacity,Holistic Transition,High,kW,3.063,3.793,4.692,5.61,6.506,7.632,9.004,10.744,12.424,14.586,16.537,19.012,21.788,23.88,27.128,30.456,34.589,38.951,43.6,48.3,53.127,57.956,62.745,68.009,72.553,76.936,81.775,85.34
E01000024,Domestic battery capacity,Holistic Transition,High,kW,0,0,0,0.32,1.123,2.133,3.363,4.923,6.428,8.367,10.115,12.334,14.822,16.698,19.609,22.593,26.298,30.208,34.375,38.588,42.916,47.245,51.538,56.256,60.33,64.259,68.597,71.793
E01000025,Domestic battery capacity,Holistic Transition,High,kW,2.997,3.71,4.59,5.854,7.651,9.909,12.66,16.149,19.516,23.852,27.763,32.726,38.291,42.486,48.998,55.672,63.958,72.704,82.024,91.447,101.126,110.809,120.41,130.963,140.076,148.862,158.565,165.714
E01000027,Domestic battery capacity,Holistic Transition,High,kW,18.301,26.288,36.003,43.452,47.183,51.691,57.057,63.414,69.708,76.984,83.447,91.158,99.022,104.946,113.237,121.352,130.602,139.791,150.003,159.612,169.431,178.351,186.886,196.419,202.445,207.955,214.097,218.33
