LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000043,ICE Ban,PHEV cars,Number,19,27,31,34,36,39,43,46,52,57,62,66,70,66,62,58,54,49,45,40,35,30,25,20,16,12,9,6,4
E01000044,ICE Ban,PHEV cars,Number,9,13,16,18,20,23,26,28,33,38,42,46,49,47,44,41,38,35,31,28,25,21,18,14,11,8,6,4,3
E01000045,ICE Ban,PHEV cars,Number,14,20,24,26,29,32,35,39,45,50,56,60,64,61,57,53,49,45,41,37,32,28,23,19,14,11,8,5,4
E01000046,ICE Ban,PHEV cars,Number,16,24,28,31,34,38,42,46,53,59,65,71,76,72,67,63,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000049,ICE Ban,PHEV cars,Number,11,17,20,21,23,25,27,29,33,37,40,43,46,43,41,38,35,32,29,26,23,20,16,13,10,8,6,4,3
E01000050,ICE Ban,PHEV cars,Number,13,20,23,25,26,29,31,33,37,41,45,48,51,48,45,42,39,36,32,29,25,22,18,15,11,9,6,4,3
E01000051,ICE Ban,PHEV cars,Number,8,11,13,14,15,17,18,20,22,25,27,29,31,29,27,27,24,22,20,18,15,13,11,9,7,5,4,3,2
E01000052,ICE Ban,PHEV cars,Number,20,30,34,37,39,43,46,50,56,62,67,72,76,72,68,63,58,54,49,43,38,33,27,22,17,13,9,6,4
E01000053,ICE Ban,PHEV cars,Number,8,12,14,16,18,21,24,27,32,37,41,45,49,46,43,40,37,34,31,28,24,21,17,14,11,8,6,4,3
E01000054,ICE Ban,PHEV cars,Number,11,17,21,24,26,30,33,37,43,49,55,60,64,61,57,53,49,45,41,37,32,28,23,19,14,11,8,5,4
E01000055,ICE Ban,PHEV cars,Number,10,16,19,21,23,27,30,33,39,44,49,54,58,55,51,48,44,41,37,33,29,25,21,17,13,10,7,5,3
E01000056,ICE Ban,PHEV cars,Number,11,17,21,22,26,30,33,37,43,49,55,60,64,61,57,53,49,45,41,37,32,28,23,19,14,11,8,5,4
E01000057,ICE Ban,PHEV cars,Number,8,13,15,17,18,20,23,25,29,33,36,39,42,40,38,35,32,30,27,24,21,18,15,12,11,7,5,4,2
E01000058,ICE Ban,PHEV cars,Number,11,17,21,24,26,30,33,37,43,49,55,60,65,61,57,53,49,45,41,37,32,28,23,19,14,11,8,5,4
E01000059,ICE Ban,PHEV cars,Number,10,16,19,21,24,27,30,34,39,45,50,55,59,55,52,49,45,41,37,33,29,25,21,17,13,10,7,5,3
E01000060,ICE Ban,PHEV cars,Number,12,19,22,25,28,32,35,39,46,52,58,63,68,64,60,56,52,48,43,39,34,29,24,20,15,12,8,6,4
E01000061,ICE Ban,PHEV cars,Number,10,15,18,21,23,26,29,32,38,43,48,52,56,53,49,46,43,39,36,32,28,24,20,16,13,9,7,5,3
E01000062,ICE Ban,PHEV cars,Number,14,21,25,28,31,35,40,44,51,59,65,71,76,72,68,63,58,54,49,43,38,33,27,22,17,13,9,6,4
E01000063,ICE Ban,PHEV cars,Number,11,17,20,23,25,28,31,35,40,46,51,55,59,56,53,49,45,42,38,34,30,25,21,17,13,10,7,5,3
E01000064,ICE Ban,PHEV cars,Number,14,22,26,30,33,37,42,47,54,62,69,75,80,76,71,67,62,57,51,46,40,34,29,23,18,14,10,7,5
E01000065,ICE Ban,PHEV cars,Number,18,27,31,34,37,41,45,49,56,63,69,74,79,75,70,66,61,56,51,45,40,34,28,23,18,13,10,7,5
E01000066,ICE Ban,PHEV cars,Number,17,25,29,32,35,40,44,48,56,63,69,75,80,76,71,66,61,56,51,46,40,34,29,23,18,15,10,7,5
E01000067,ICE Ban,PHEV cars,Number,17,26,31,34,37,42,46,51,58,66,72,79,84,79,75,70,64,59,54,48,42,36,30,24,19,14,10,7,5
E01000068,ICE Ban,PHEV cars,Number,10,16,19,21,23,27,30,33,39,45,50,54,58,55,52,48,44,41,37,33,29,25,21,17,13,10,7,5,3
E01000069,ICE Ban,PHEV cars,Number,17,26,30,34,37,41,45,50,58,65,72,78,83,78,74,69,64,58,53,47,42,36,30,24,19,14,10,7,5
E01000070,ICE Ban,PHEV cars,Number,17,25,30,33,36,41,45,50,57,64,71,77,82,78,73,68,63,58,52,47,41,35,29,24,18,14,10,7,5
E01000071,ICE Ban,PHEV cars,Number,20,30,36,40,43,48,54,59,68,77,84,92,98,93,87,81,75,69,62,56,49,42,35,28,22,16,12,8,6
E01000072,ICE Ban,PHEV cars,Number,15,22,26,28,31,35,38,42,48,54,60,65,69,66,62,57,53,49,44,40,35,30,25,20,16,12,8,6,4
E01000073,ICE Ban,PHEV cars,Number,13,20,24,26,29,33,36,40,46,52,58,63,67,63,60,56,51,47,43,38,34,29,24,19,15,11,8,6,4
E01000074,ICE Ban,PHEV cars,Number,12,18,22,24,26,30,33,37,42,48,53,57,61,58,55,51,47,43,39,35,31,26,22,18,14,10,8,5,4
E01000075,ICE Ban,PHEV cars,Number,17,26,30,34,37,42,47,51,59,67,74,81,86,82,77,71,66,61,55,49,43,37,31,25,19,15,11,7,5
E01000076,ICE Ban,PHEV cars,Number,14,21,25,28,31,35,38,42,49,55,61,66,71,67,63,59,55,50,45,41,36,31,25,21,16,12,9,6,4
E01000077,ICE Ban,PHEV cars,Number,8,13,15,18,20,24,27,30,36,41,46,51,55,52,49,45,42,39,35,31,27,24,20,16,12,9,7,5,3
E01000078,ICE Ban,PHEV cars,Number,16,23,27,30,32,36,39,43,49,55,60,65,69,65,61,57,53,49,44,39,35,30,25,20,15,12,8,6,4
E01000079,ICE Ban,PHEV cars,Number,9,14,17,20,22,26,29,33,39,44,50,54,59,55,52,49,45,41,37,33,29,25,21,17,13,10,7,5,3
E01000080,ICE Ban,PHEV cars,Number,16,24,28,31,33,37,41,44,51,57,62,67,72,68,63,59,55,50,46,41,36,31,26,21,16,12,9,6,4
E01000081,ICE Ban,PHEV cars,Number,17,25,29,32,35,39,43,47,53,59,65,70,75,71,67,62,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000082,ICE Ban,PHEV cars,Number,15,23,27,29,32,35,39,42,48,54,59,64,68,64,61,56,52,48,45,39,34,29,24,20,15,11,8,6,4
E01000083,ICE Ban,PHEV cars,Number,15,23,27,29,32,35,39,42,48,54,59,64,68,64,60,56,52,48,43,39,34,29,24,20,15,11,8,6,4
E01000084,ICE Ban,PHEV cars,Number,7,11,13,15,17,19,21,24,28,31,35,38,41,39,36,34,31,29,26,23,21,18,15,12,9,7,5,3,2
E01000085,ICE Ban,PHEV cars,Number,8,12,15,17,19,21,24,27,31,35,39,43,46,44,41,38,35,32,29,26,23,20,16,13,10,8,6,4,3
E01000086,ICE Ban,PHEV cars,Number,8,12,14,16,18,20,23,25,29,33,37,40,43,41,39,36,33,31,28,25,22,19,16,13,10,7,5,4,2
E01000087,ICE Ban,PHEV cars,Number,7,11,14,16,18,21,24,27,31,36,40,44,48,45,42,40,37,34,32,27,24,21,17,14,11,8,6,4,3
E01000088,ICE Ban,PHEV cars,Number,9,13,16,19,21,25,28,30,37,43,48,52,57,53,50,47,43,40,36,32,28,24,20,16,13,10,7,5,3
E01000089,ICE Ban,PHEV cars,Number,9,14,17,20,23,26,30,34,40,46,51,56,60,57,54,50,46,42,39,34,30,26,22,17,14,10,7,5,3
E01000090,ICE Ban,PHEV cars,Number,9,13,16,19,21,25,28,31,37,43,48,52,56,53,50,47,43,40,36,32,28,24,20,16,13,10,7,5,3
E01000091,ICE Ban,PHEV cars,Number,20,30,34,37,39,42,46,49,55,60,65,70,74,70,66,61,57,52,47,42,37,32,26,21,17,12,9,6,4
E01000093,ICE Ban,PHEV cars,Number,17,25,29,31,33,36,39,42,47,52,56,60,64,60,56,53,49,45,41,36,32,27,23,18,14,11,8,5,4
E01000094,ICE Ban,PHEV cars,Number,22,32,36,39,42,45,49,53,59,65,70,75,79,75,70,66,61,56,51,45,40,34,28,23,18,13,10,7,5
E01000095,ICE Ban,PHEV cars,Number,14,21,25,29,32,36,41,45,53,60,67,73,78,74,70,65,60,55,50,45,39,34,28,23,18,13,10,7,4
E01000096,ICE Ban,PHEV cars,Number,18,27,31,33,35,38,41,44,50,55,59,63,67,63,59,55,51,47,43,38,33,29,24,19,15,11,8,6,4
E01000097,ICE Ban,PHEV cars,Number,11,17,20,24,27,31,35,40,47,54,60,66,72,68,64,59,54,49,44,40,35,30,24,20,15,11,8,6,4
E01000098,ICE Ban,PHEV cars,Number,10,15,18,21,24,27,31,35,42,48,54,59,64,60,56,53,48,43,39,35,31,26,22,17,14,10,7,5,3
E01000099,ICE Ban,PHEV cars,Number,23,35,41,49,56,64,73,83,98,113,126,138,149,141,132,123,112,102,92,83,72,62,51,41,32,24,17,12,8
E01000100,ICE Ban,PHEV cars,Number,11,17,20,23,25,29,32,36,41,47,52,56,61,57,54,50,46,43,39,35,30,26,22,17,14,10,7,5,4
E01000101,ICE Ban,PHEV cars,Number,13,19,22,25,28,32,35,39,45,51,57,62,67,63,59,55,51,47,42,38,33,29,24,19,15,11,8,6,4
E01000102,ICE Ban,PHEV cars,Number,17,25,30,33,35,39,43,47,54,60,66,71,76,72,67,63,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000103,ICE Ban,PHEV cars,Number,11,17,20,23,26,30,34,38,45,52,58,63,68,65,61,57,52,48,44,39,34,29,24,20,15,12,8,6,4
E01000104,ICE Ban,PHEV cars,Number,10,15,18,20,23,26,30,33,39,45,50,55,59,56,53,49,45,42,38,34,30,25,21,17,13,10,7,5,3
E01000105,ICE Ban,PHEV cars,Number,12,18,22,25,28,33,37,41,49,56,62,68,74,70,65,61,56,52,47,42,37,32,26,21,17,12,9,6,4
E01000106,ICE Ban,PHEV cars,Number,10,16,19,22,25,28,32,36,43,49,55,60,64,61,57,53,49,45,41,37,32,28,23,19,14,11,8,6,4
E01000107,ICE Ban,PHEV cars,Number,14,21,24,27,30,33,37,41,47,53,59,63,68,64,60,56,52,48,43,39,34,29,24,20,15,11,8,6,4
E01000108,ICE Ban,PHEV cars,Number,15,23,27,30,33,37,41,45,52,58,64,70,75,71,66,62,57,52,48,43,37,32,27,21,17,13,9,6,4
E01000110,ICE Ban,PHEV cars,Number,14,21,25,28,31,35,39,43,50,56,63,68,73,69,65,60,56,51,47,42,37,31,26,21,16,12,9,6,4
E01000111,ICE Ban,PHEV cars,Number,15,22,26,29,32,37,41,45,53,60,66,72,77,73,69,64,59,54,49,44,39,33,28,22,17,13,9,7,4
E01000112,ICE Ban,PHEV cars,Number,14,21,25,28,31,35,39,43,50,56,63,68,73,69,65,61,56,51,47,42,37,31,26,21,16,12,9,6,4
E01000113,ICE Ban,PHEV cars,Number,12,18,22,24,27,30,34,38,44,50,55,60,64,61,57,53,49,45,41,37,32,27,23,18,14,11,8,5,4
E01000114,ICE Ban,PHEV cars,Number,16,24,29,32,36,40,45,50,58,66,73,79,85,80,75,70,65,60,54,48,43,36,30,25,19,14,10,7,5
E01000115,ICE Ban,PHEV cars,Number,13,19,23,27,30,34,38,43,50,58,64,70,76,72,67,63,58,53,48,43,38,32,27,21,17,12,9,6,4
E01000116,ICE Ban,PHEV cars,Number,14,21,25,29,32,37,42,47,55,63,70,77,82,78,73,68,63,58,53,47,41,35,29,23,18,13,10,7,5
E01000117,ICE Ban,PHEV cars,Number,18,26,32,36,39,44,48,53,61,68,75,82,87,83,78,72,67,61,56,50,44,37,31,25,19,14,10,7,5
E01000118,ICE Ban,PHEV cars,Number,24,36,42,47,51,57,63,69,79,89,98,107,114,108,101,94,87,80,73,65,57,49,40,32,25,19,14,9,6
E01000119,ICE Ban,PHEV cars,Number,14,21,26,30,33,38,43,48,56,65,72,79,85,80,75,70,65,60,54,48,42,36,30,24,19,14,10,7,5
E01000120,ICE Ban,PHEV cars,Number,12,19,22,26,29,33,37,42,49,56,62,68,73,69,65,61,56,52,47,42,37,31,26,21,16,12,9,6,4
E01000121,ICE Ban,PHEV cars,Number,13,19,23,25,28,31,34,37,43,48,53,57,61,58,55,51,47,43,39,35,31,26,22,16,14,10,7,5,3
E01000122,ICE Ban,PHEV cars,Number,11,17,21,24,27,31,35,39,45,52,58,63,68,64,61,56,52,48,43,39,34,29,24,19,15,11,8,6,4
E01000123,ICE Ban,PHEV cars,Number,19,28,33,36,39,44,49,53,61,69,76,82,88,83,78,73,67,62,56,50,44,38,31,25,19,15,11,7,5
E01000124,ICE Ban,PHEV cars,Number,13,19,23,25,28,31,34,37,43,48,53,58,62,58,55,51,47,43,39,35,31,26,22,18,14,10,7,5,3
E01000126,ICE Ban,PHEV cars,Number,14,22,26,29,32,37,41,46,53,60,67,73,78,74,70,65,60,55,50,45,39,34,28,22,17,13,9,7,4
E01000127,ICE Ban,PHEV cars,Number,10,15,18,21,23,26,29,32,37,42,46,50,54,51,48,45,41,38,34,31,27,23,19,15,12,9,7,5,3
E01000128,ICE Ban,PHEV cars,Number,14,21,26,29,32,36,40,44,51,58,65,70,75,71,67,62,58,53,48,43,38,32,27,22,17,13,9,6,4
E01000129,ICE Ban,PHEV cars,Number,13,19,23,24,28,32,35,39,46,52,57,62,67,63,59,55,51,47,43,38,33,29,24,19,15,11,8,6,4
E01000130,ICE Ban,PHEV cars,Number,11,16,20,22,25,28,32,36,42,47,53,57,62,58,55,51,47,43,39,35,31,26,22,18,14,10,7,5,3
E01000131,ICE Ban,PHEV cars,Number,14,21,25,28,31,35,39,43,50,57,63,69,74,70,65,61,56,52,47,42,37,32,26,21,16,12,9,6,4
E01000132,ICE Ban,PHEV cars,Number,10,14,17,20,22,25,28,31,37,42,46,51,54,51,48,45,42,38,35,31,27,23,19,15,12,9,6,5,3
E01000133,ICE Ban,PHEV cars,Number,11,16,19,22,24,28,31,35,41,46,52,56,60,57,54,50,46,42,39,34,30,26,21,17,13,10,7,5,3
E01000134,ICE Ban,PHEV cars,Number,11,17,21,23,26,29,32,36,41,47,52,57,61,57,54,50,47,43,39,35,30,26,22,17,14,10,7,5,3
E01000135,ICE Ban,PHEV cars,Number,30,44,50,53,56,61,65,69,77,84,90,96,99,92,86,80,74,67,61,55,48,41,34,27,21,16,12,8,5
E01000136,ICE Ban,PHEV cars,Number,29,43,49,52,55,59,63,67,75,81,88,93,97,90,84,78,72,66,60,53,47,40,33,27,21,16,11,8,5
E01000137,ICE Ban,PHEV cars,Number,17,26,29,32,34,37,40,43,48,53,59,62,65,62,58,53,48,44,40,36,31,27,22,18,14,10,8,5,4
E01000138,ICE Ban,PHEV cars,Number,20,29,33,36,38,41,45,48,54,59,64,69,73,69,65,60,56,50,45,40,35,30,25,20,15,12,8,6,4
E01000139,ICE Ban,PHEV cars,Number,19,27,31,34,36,39,42,46,51,56,61,66,70,66,62,56,51,47,42,38,33,29,22,19,15,11,8,6,4
E01000140,ICE Ban,PHEV cars,Number,17,25,28,30,33,35,38,41,46,51,55,59,63,59,56,51,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000141,ICE Ban,PHEV cars,Number,50,72,80,81,83,85,88,90,94,98,101,103,105,102,94,86,78,71,64,57,50,43,36,29,23,17,13,9,6
E01000142,ICE Ban,PHEV cars,Number,21,31,36,39,41,45,48,52,58,64,70,75,79,75,70,65,60,54,49,43,38,32,27,22,17,13,9,6,4
E01000143,ICE Ban,PHEV cars,Number,14,21,24,26,28,30,33,34,40,44,48,51,54,51,48,44,40,36,33,29,26,22,18,15,11,9,6,4,3
E01000144,ICE Ban,PHEV cars,Number,20,31,36,38,40,43,46,49,54,59,64,68,71,66,61,57,52,48,44,39,34,29,24,20,15,11,8,6,4
E01000145,ICE Ban,PHEV cars,Number,10,15,18,21,23,26,29,33,38,43,48,52,56,53,50,46,43,39,36,32,28,24,20,16,12,9,7,5,3
E01000146,ICE Ban,PHEV cars,Number,20,30,34,36,38,41,44,47,51,56,60,64,67,62,58,54,49,45,41,37,32,28,23,18,14,11,8,5,4
E01000147,ICE Ban,PHEV cars,Number,15,22,26,30,33,37,42,46,54,61,67,73,79,74,70,65,60,55,50,45,39,33,27,22,17,13,9,6,4
E01000150,ICE Ban,PHEV cars,Number,36,54,63,69,75,83,91,100,114,127,139,150,160,152,142,133,121,109,98,88,77,66,54,44,34,26,19,13,9
E01000151,ICE Ban,PHEV cars,Number,8,12,14,16,17,20,22,24,28,32,36,39,42,40,37,35,32,29,27,24,21,18,15,12,9,7,5,5,2
E01000152,ICE Ban,PHEV cars,Number,16,24,29,32,36,41,46,51,59,67,74,81,87,82,77,72,67,61,56,50,44,37,31,25,19,15,12,7,5
E01000153,ICE Ban,PHEV cars,Number,12,18,21,24,27,30,34,38,44,50,55,60,65,61,57,54,50,45,41,37,32,28,23,19,14,11,8,5,4
E01000154,ICE Ban,PHEV cars,Number,9,14,17,19,21,24,26,29,34,39,43,47,50,48,45,42,39,35,32,29,25,22,18,14,11,8,6,4,3
E01000156,ICE Ban,PHEV cars,Number,14,21,24,27,29,32,36,39,45,50,55,59,63,60,56,53,49,45,40,36,32,27,22,18,14,10,8,5,4
E01000157,ICE Ban,PHEV cars,Number,12,19,22,24,26,29,32,35,40,45,49,53,57,54,51,47,44,40,36,32,28,24,20,16,12,9,7,5,3
E01000158,ICE Ban,PHEV cars,Number,11,17,20,23,25,29,32,36,41,47,52,57,61,57,54,50,46,43,39,35,30,25,21,17,13,10,7,5,3
