LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000043,Reduced Demand,PHEV cars,Number,19,26,30,32,34,37,40,44,49,54,58,62,66,62,58,54,50,46,42,37,33,28,23,19,15,11,8,4,4
E01000044,Reduced Demand,PHEV cars,Number,9,12,15,17,19,22,24,27,31,36,39,43,46,44,41,38,35,32,29,26,23,20,16,13,10,8,6,4,3
E01000045,Reduced Demand,PHEV cars,Number,14,19,22,25,27,30,34,37,42,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000046,Reduced Demand,PHEV cars,Number,16,22,26,29,32,36,40,43,50,56,61,66,71,67,63,59,54,50,45,40,35,30,25,20,16,12,9,6,4
E01000049,Reduced Demand,PHEV cars,Number,11,16,18,20,22,24,26,28,31,35,38,40,43,40,38,35,33,30,27,24,21,18,15,12,9,7,5,4,2
E01000050,Reduced Demand,PHEV cars,Number,13,19,22,23,25,27,29,32,35,39,42,45,48,45,42,39,36,33,30,27,24,20,17,14,11,8,6,4,3
E01000051,Reduced Demand,PHEV cars,Number,8,11,12,14,15,16,17,19,21,23,25,27,29,27,26,24,22,20,18,16,14,12,10,8,6,5,3,2,2
E01000052,Reduced Demand,PHEV cars,Number,20,28,32,35,37,41,44,47,53,58,63,68,71,68,63,59,55,50,45,40,35,30,25,20,16,12,9,6,4
E01000053,Reduced Demand,PHEV cars,Number,8,11,13,15,17,20,23,26,30,35,39,42,45,43,40,38,35,32,29,26,23,19,16,13,10,8,7,4,3
E01000054,Reduced Demand,PHEV cars,Number,11,16,20,22,25,28,32,35,41,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000055,Reduced Demand,PHEV cars,Number,10,15,18,20,22,25,28,32,37,42,46,50,54,51,48,45,41,38,34,31,27,23,19,15,12,9,7,5,3
E01000056,Reduced Demand,PHEV cars,Number,11,16,20,22,25,28,32,35,41,46,51,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000057,Reduced Demand,PHEV cars,Number,8,12,14,16,17,19,22,24,27,31,34,37,40,37,35,33,30,28,25,22,20,17,14,11,9,7,5,3,2
E01000058,Reduced Demand,PHEV cars,Number,11,16,20,22,25,28,32,35,41,47,52,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000059,Reduced Demand,PHEV cars,Number,10,15,18,20,23,26,29,32,37,42,47,51,55,52,49,45,42,38,35,31,27,23,19,16,12,9,7,5,3
E01000060,Reduced Demand,PHEV cars,Number,12,17,21,24,26,30,34,37,43,49,55,59,64,60,56,53,49,45,40,36,32,27,23,18,14,11,8,5,4
E01000061,Reduced Demand,PHEV cars,Number,10,14,17,19,22,24,27,31,36,40,45,49,52,49,46,43,40,36,33,30,26,22,18,15,12,9,6,4,3
E01000062,Reduced Demand,PHEV cars,Number,14,19,23,27,29,34,38,42,49,55,61,66,71,67,63,59,54,50,45,40,35,30,25,20,16,12,9,6,4
E01000063,Reduced Demand,PHEV cars,Number,11,16,19,21,24,27,30,33,38,43,48,52,55,52,49,46,42,39,35,31,28,24,20,16,12,9,7,5,3
E01000064,Reduced Demand,PHEV cars,Number,14,21,25,28,31,35,40,44,51,58,64,70,75,71,67,62,57,53,48,43,37,32,27,21,17,13,9,6,4
E01000065,Reduced Demand,PHEV cars,Number,18,25,29,32,35,39,43,47,53,59,65,70,74,70,66,61,57,52,47,42,37,32,26,21,16,12,9,6,4
E01000066,Reduced Demand,PHEV cars,Number,17,23,28,31,34,38,42,46,53,59,65,70,75,71,67,62,57,53,48,43,37,32,27,21,17,13,9,6,4
E01000067,Reduced Demand,PHEV cars,Number,17,24,29,32,35,39,44,48,55,62,68,74,79,74,70,65,60,55,50,45,39,33,28,22,17,13,9,7,4
E01000068,Reduced Demand,PHEV cars,Number,10,15,18,20,22,25,28,32,37,42,46,51,54,51,48,45,41,38,34,31,27,23,19,15,12,9,7,5,3
E01000069,Reduced Demand,PHEV cars,Number,17,24,29,32,35,39,43,47,54,61,67,73,78,73,69,64,59,54,49,44,39,33,27,22,17,13,9,6,4
E01000070,Reduced Demand,PHEV cars,Number,17,24,28,32,34,38,43,47,54,61,67,72,77,73,68,63,59,54,49,44,38,33,27,22,17,13,9,6,4
E01000071,Reduced Demand,PHEV cars,Number,20,28,34,38,41,46,51,56,64,72,79,86,92,87,81,76,70,64,58,52,46,39,32,26,20,15,11,8,5
E01000072,Reduced Demand,PHEV cars,Number,15,20,24,27,29,33,36,40,46,51,56,61,65,61,57,54,50,45,41,37,32,28,23,19,14,11,8,5,4
E01000073,Reduced Demand,PHEV cars,Number,13,19,22,25,27,31,34,38,44,49,54,59,63,59,56,52,48,44,40,36,31,27,22,18,14,11,8,5,4
E01000074,Reduced Demand,PHEV cars,Number,12,17,20,23,25,28,31,35,40,45,50,54,57,54,51,47,44,40,36,33,29,24,20,16,13,10,7,5,3
E01000075,Reduced Demand,PHEV cars,Number,17,24,29,32,35,40,44,49,56,63,70,76,81,76,72,67,62,57,51,46,40,34,29,23,18,14,10,7,5
E01000076,Reduced Demand,PHEV cars,Number,14,20,24,27,29,33,36,40,46,52,57,62,67,63,59,55,51,47,42,38,33,28,24,19,15,11,8,6,4
E01000077,Reduced Demand,PHEV cars,Number,8,12,15,17,19,22,25,29,34,39,43,48,51,48,45,42,39,36,33,29,25,22,18,15,11,9,6,4,3
E01000078,Reduced Demand,PHEV cars,Number,16,22,26,28,31,34,37,41,46,52,56,61,65,61,57,53,49,45,41,37,32,27,23,18,14,11,8,5,4
E01000079,Reduced Demand,PHEV cars,Number,9,13,16,19,21,24,28,31,37,42,47,51,55,52,49,45,42,38,35,31,27,23,19,16,12,9,7,5,3
E01000080,Reduced Demand,PHEV cars,Number,16,23,27,29,32,35,38,42,48,53,58,63,67,63,59,55,51,47,42,38,33,28,24,19,15,11,8,6,4
E01000081,Reduced Demand,PHEV cars,Number,17,24,28,31,33,37,40,44,50,56,61,66,70,66,62,58,54,49,45,40,35,30,25,20,16,12,8,6,4
E01000082,Reduced Demand,PHEV cars,Number,15,22,25,28,30,33,37,40,46,51,56,60,64,60,57,53,49,45,41,36,32,27,23,18,14,11,8,5,4
E01000083,Reduced Demand,PHEV cars,Number,15,21,25,28,30,33,38,40,45,51,55,60,64,60,56,52,48,44,40,36,32,27,22,18,14,11,8,5,4
E01000084,Reduced Demand,PHEV cars,Number,7,10,14,14,16,18,20,22,26,30,33,36,38,36,34,32,29,27,24,22,19,16,14,11,9,6,5,3,2
E01000085,Reduced Demand,PHEV cars,Number,8,12,14,16,18,20,23,25,29,33,37,40,43,41,38,36,33,30,27,24,21,18,15,12,10,7,5,4,2
E01000086,Reduced Demand,PHEV cars,Number,8,11,13,15,17,19,21,24,28,31,35,38,41,38,36,34,31,28,26,23,20,17,14,12,9,7,5,3,2
E01000087,Reduced Demand,PHEV cars,Number,7,11,13,15,17,20,22,25,30,34,38,42,45,42,40,37,34,31,28,25,22,19,16,13,10,7,5,4,3
E01000088,Reduced Demand,PHEV cars,Number,9,13,15,18,20,23,26,30,35,40,45,49,53,50,47,44,40,37,34,30,26,22,19,15,12,9,6,4,3
E01000089,Reduced Demand,PHEV cars,Number,9,13,16,19,22,25,28,32,38,43,48,52,56,53,50,47,43,39,36,32,28,24,20,16,13,9,7,5,3
E01000090,Reduced Demand,PHEV cars,Number,9,13,15,18,20,23,26,30,35,40,45,49,53,50,47,44,40,37,33,30,26,22,19,15,12,9,6,4,3
E01000091,Reduced Demand,PHEV cars,Number,20,28,32,35,37,40,43,46,52,57,61,66,69,65,61,57,53,48,44,39,34,29,24,20,15,11,8,6,4
E01000093,Reduced Demand,PHEV cars,Number,17,24,28,30,32,34,37,40,45,49,53,56,60,56,53,49,46,42,38,34,30,25,21,17,13,10,7,5,3
E01000094,Reduced Demand,PHEV cars,Number,22,30,35,37,40,43,46,50,56,61,66,71,74,70,66,61,57,52,47,42,37,32,26,21,16,12,9,6,4
E01000095,Reduced Demand,PHEV cars,Number,14,20,24,27,30,34,38,43,50,57,63,68,73,69,65,62,56,51,46,42,36,31,26,21,16,12,9,6,4
E01000096,Reduced Demand,PHEV cars,Number,18,25,29,31,33,36,39,42,47,52,56,59,63,59,56,52,48,44,40,36,31,27,22,18,14,10,9,5,3
E01000097,Reduced Demand,PHEV cars,Number,11,16,19,22,25,29,33,37,44,51,57,62,67,63,59,55,50,46,41,37,32,28,23,18,14,11,8,5,4
E01000098,Reduced Demand,PHEV cars,Number,10,14,17,20,22,26,30,33,39,45,50,55,59,56,53,49,44,40,37,33,29,24,20,16,13,9,7,5,3
