MSOA21CD,Scenario_world,Scenario,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E02000001,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000002,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0069,0.0134,0.0193,0.0249,0.03,0.0348,0.0394,0.0436,0.0476,0.0514,0.055,0.0584,0.0616,0.0646,0.0674,0.0702,0.0728,0.0746
E02000003,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,3e-4,5e-4,7e-4,9e-4,0.0011,0.0013,0.0015,0.0017,0.0018,0.0019,0.0021,0.0022,0.0023,0.0024,0.0026,0.0027,0.0028,0.0028
E02000004,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000005,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000007,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000008,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000009,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000010,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000011,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000012,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000013,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000014,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000015,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000016,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000017,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000018,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000019,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000020,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000021,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000022,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000023,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000024,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0161,0.031,0.0449,0.0577,0.0697,0.0809,0.0914,0.1012,0.1105,0.1193,0.1277,0.1356,0.143,0.1499,0.1565,0.1629,0.1689,0.1732
E02000025,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000026,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000027,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.0049,0.0071,0.0092,0.0111,0.0129,0.0145,0.0161,0.0176,0.019,0.0203,0.0216,0.0228,0.0239,0.0249,0.0259,0.0269,0.0276
E02000028,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000029,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000030,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.197,0.3807,0.5505,0.7077,0.855,0.9922,1.1206,1.2414,1.3554,1.4635,1.5661,1.6633,1.7537,1.8389,1.9201,1.9976,2.0716,2.1248
E02000031,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0035,0.005,0.0065,0.0078,0.009,0.0102,0.0113,0.0124,0.0133,0.0143,0.0152,0.016,0.0168,0.0175,0.0182,0.0189,0.0194
E02000032,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000033,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000034,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000035,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,6e-4,0.0012,0.0017,0.0022,0.0026,0.003,0.0034,0.0038,0.0041,0.0045,0.0048,0.0051,0.0053,0.0056,0.0059,0.0061,0.0063,0.0065
E02000036,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0038,0.0054,0.007,0.0084,0.0098,0.011,0.0122,0.0134,0.0144,0.0154,0.0164,0.0173,0.0181,0.0189,0.0197,0.0204,0.0209
E02000037,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0314,0.0607,0.0878,0.1129,0.1364,0.1583,0.1787,0.198,0.2162,0.2334,0.2498,0.2653,0.2797,0.2933,0.3063,0.3186,0.3304,0.3389
E02000038,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000039,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000040,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0196,0.0378,0.0546,0.0702,0.0849,0.0985,0.1112,0.1232,0.1345,0.1453,0.1555,0.1651,0.1741,0.1825,0.1906,0.1983,0.2056,0.2109
E02000041,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000042,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000043,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.0056,0.008,0.0103,0.0125,0.0145,0.0163,0.0181,0.0198,0.0213,0.0228,0.0243,0.0256,0.0268,0.028,0.0291,0.0302,0.031
E02000044,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000045,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000046,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000047,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000048,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000049,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000050,Leading the Way,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
