LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000028,Domestic battery capacity,kW,0,0,0,0.2,0.4,0.7,1.1,1.6,2.1,2.6,3.1,3.6,4,4.5,5,5.3,5.7,6.1,6.6,7.2,7.7,8.3,9,9.6,10.2,11,11.5,12.2,12.8,13.3
E01000029,Domestic battery capacity,kW,0,0,0,0.1,0.3,0.6,1.1,1.7,2.2,2.8,3.3,3.9,4.3,4.8,5.2,5.5,5.8,6.2,6.6,7,7.5,8,8.7,9.2,9.9,10.5,11.1,11.7,12.3,12.7
E01000030,Domestic battery capacity,kW,0,0,0.1,0.3,0.7,1.8,3.3,5,6.6,8.3,10,11.7,13.1,14.6,15.8,16.4,17.6,18.7,19.9,21.2,22.7,24.3,26.3,28,29.9,32,33.6,35.5,37.2,38.5
E01000031,Domestic battery capacity,kW,0,0,0,0.2,0.4,2.1,4.3,6.7,9.1,11.6,14,16.5,18.5,20.6,22.5,23.1,24.8,26.4,28.2,30,32.2,34.6,37.4,40,42.7,45.7,48.1,50.9,53.3,55.1
E01000032,Domestic battery capacity,kW,0,0,0.1,0.2,0.6,2.8,5.8,9.1,12.3,15.6,18.9,22.2,24.9,27.8,30.3,31.1,33.4,35.5,38,40.4,43.4,46.5,50.4,53.8,57.5,61.5,64.8,68.5,71.7,74.2
E01000033,Domestic battery capacity,kW,0,0,0.1,0.4,0.9,2.6,4.9,7.4,9.8,12.4,14.9,17.4,19.5,21.7,23.6,24.5,26.3,27.9,29.8,31.6,33.9,36.3,39.2,41.9,44.7,47.8,50.3,53.1,55.6,57.5
E01000034,Domestic battery capacity,kW,0,0,0.1,0.3,0.6,1.3,2.2,3.2,4.1,5.1,6.1,7.1,7.9,8.8,9.5,10,10.7,11.3,12.1,12.8,13.7,14.6,15.8,16.8,17.9,19.1,20.1,21.2,22.2,23
E01000035,Domestic battery capacity,kW,0,0,0,0.1,0.2,1.5,3.1,4.8,6.6,8.4,10.2,12,13.5,15.1,16.4,16.8,18.1,19.3,20.6,21.9,23.5,25.3,27.3,29.2,31.2,33.4,35.2,37.2,39,40.4
E01000036,Domestic battery capacity,kW,0,0,0,0.2,0.4,2.1,4.4,6.9,9.4,12,14.6,17.1,19.2,21.4,23.4,24,25.8,27.4,29.3,31.2,33.5,35.9,38.9,41.6,44.4,47.5,50.1,53,55.5,57.4
E01000037,Domestic battery capacity,kW,0,0,0,0,0.1,1.6,3.5,5.6,7.7,9.8,12,14.1,15.9,17.7,19.4,19.8,21.3,22.7,24.2,25.8,27.7,29.8,32.3,34.5,36.9,39.5,41.6,44,46.1,47.7
